model_idx,seed_idx,aib,decile
0,0,1.0,0
0,0,1.0,1
0,0,1.0,2
0,0,1.0,3
0,0,1.0,4
0,0,1.0,5
0,0,1.0,6
0,0,1.0,7
0,0,1.0721649484536082,8
0,0,1.1743119266055047,9
0,0,1.319672131147541,10
1,0,1.0,0
1,0,1.0,1
1,0,1.0,2
1,0,1.0,3
1,0,1.0,4
1,0,1.0,5
1,0,1.1538461538461537,6
1,0,1.4835164835164836,7
1,0,1.875,8
1,0,2.3162393162393164,9
1,0,inf,10
8,0,1.0,0
8,0,1.0,1
8,0,1.0,2
8,0,1.3902439024390243,3
8,0,1.8727272727272728,4
8,0,2.347826086956522,5
8,0,2.9878048780487805,6
8,0,inf,7
8,0,inf,8
8,0,inf,9
8,0,inf,10
9,0,1.0,0
9,0,1.0,1
9,0,1.037037037037037,2
9,0,1.4634146341463414,3
9,0,1.9272727272727272,4
9,0,2.5942028985507246,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
2,0,1.0,0
2,0,1.0,1
2,0,1.0,2
2,0,1.0,3
2,0,1.0,4
2,0,1.0158730158730158,5
2,0,1.1733333333333333,6
2,0,1.2954545454545454,7
2,0,1.38,8
2,0,1.4778761061946903,9
2,0,1.7222222222222223,10
6,0,1.0,0
6,0,1.0,1
6,0,1.0,2
6,0,1.2,3
6,0,1.4042553191489362,4
6,0,1.6779661016949152,5
6,0,1.9859154929577465,6
6,0,2.6506024096385543,7
6,0,inf,8
6,0,inf,9
6,0,inf,10
3,0,1.0,0
3,0,1.0,1
3,0,1.0,2
3,0,1.0,3
3,0,1.0,4
3,0,1.1666666666666667,5
3,0,1.3037974683544304,6
3,0,1.5053763440860215,7
3,0,1.7358490566037736,8
3,0,2.0840336134453783,9
3,0,inf,10
7,0,1.0,0
7,0,1.0,1
7,0,1.0,2
7,0,1.0,3
7,0,1.196078431372549,4
7,0,1.40625,5
7,0,1.6973684210526316,6
7,0,2.1797752808988764,7
7,0,inf,8
7,0,inf,9
7,0,inf,10
5,0,1.0,0
5,0,1.0,1
5,0,1.0,2
5,0,1.0,3
5,0,1.0,4
5,0,1.0289855072463767,5
5,0,1.1829268292682926,6
5,0,1.4270833333333333,7
5,0,1.809090909090909,8
5,0,2.3951612903225805,9
5,0,inf,10
4,0,1.0,0
4,0,1.0,1
4,0,1.0,2
4,0,1.0,3
4,0,1.0,4
4,0,1.1470588235294117,5
4,0,1.2926829268292683,6
4,0,1.5157894736842106,7
4,0,1.9357798165137614,8
4,0,2.569105691056911,9
4,0,inf,10
