model_idx,seed_idx,aib,decile
1,1,1.0,0
1,1,1.0,1
1,1,1.4,2
1,1,1.6037735849056605,3
1,1,1.8028169014084507,4
1,1,2.044943820224719,5
1,1,2.308411214953271,6
1,1,2.56,7
1,1,2.867132867132867,8
1,1,3.217391304347826,9
1,1,inf,10
2,0,1.0,0
2,0,1.0,1
2,0,1.3611111111111112,2
2,0,1.6727272727272726,3
2,0,2.0,4
2,0,2.2717391304347827,5
2,0,2.5545454545454547,6
2,0,2.890625,7
2,0,3.306122448979592,8
2,0,3.8484848484848486,9
2,0,inf,10
0,1,1.0,0
0,1,1.0,1
0,1,1.3428571428571427,2
0,1,1.5849056603773586,3
0,1,1.943661971830986,4
0,1,2.157303370786517,5
0,1,2.4245283018867925,6
0,1,2.653225806451613,7
0,1,2.908450704225352,8
0,1,3.175,9
0,1,inf,10
6,1,1.0,0
6,1,2.3157894736842106,1
6,1,3.1578947368421053,2
6,1,3.8771929824561404,3
6,1,4.605263157894737,4
6,1,5.378947368421053,5
6,1,inf,6
6,1,inf,7
6,1,inf,8
6,1,inf,9
6,1,inf,10
0,0,1.0,0
0,0,1.0,1
0,0,1.4,2
0,0,1.6037735849056605,3
0,0,1.7571428571428571,4
0,0,2.0113636363636362,5
0,0,2.1792452830188678,6
0,0,2.4227642276422765,7
0,0,2.7375886524822697,8
0,0,3.088050314465409,9
0,0,inf,10
0,2,1.0,0
0,2,1.0,1
0,2,1.0857142857142856,2
0,2,1.3962264150943395,3
0,2,1.5714285714285714,4
0,2,1.8636363636363635,5
0,2,2.1320754716981134,6
0,2,2.3902439024390243,7
0,2,2.673758865248227,8
0,2,2.9622641509433962,9
0,2,inf,10
7,1,1.0,0
7,1,3.1052631578947367,1
7,1,4.473684210526316,2
7,1,5.824561403508772,3
7,1,inf,4
7,1,inf,5
7,1,inf,6
7,1,inf,7
7,1,inf,8
7,1,inf,9
7,1,inf,10
9,1,1.0,0
9,1,4.315789473684211,1
9,1,inf,2
9,1,inf,3
9,1,inf,4
9,1,inf,5
9,1,inf,6
9,1,inf,7
9,1,inf,8
9,1,inf,9
9,1,inf,10
7,0,1.0,0
7,0,2.0526315789473686,1
7,0,3.3157894736842106,2
7,0,4.578947368421052,3
7,0,inf,4
7,0,inf,5
7,0,inf,6
7,0,inf,7
7,0,inf,8
7,0,inf,9
7,0,inf,10
4,0,1.0,0
4,0,2.111111111111111,1
4,0,3.4054054054054053,2
4,0,4.589285714285714,3
4,0,5.702702702702703,4
4,0,inf,5
4,0,inf,6
4,0,inf,7
4,0,inf,8
4,0,inf,9
4,0,inf,10
3,0,1.0,0
3,0,2.0555555555555554,1
3,0,2.810810810810811,2
3,0,3.5454545454545454,3
3,0,4.418918918918919,4
3,0,inf,5
3,0,inf,6
3,0,inf,7
3,0,inf,8
3,0,inf,9
3,0,inf,10
1,0,1.0,0
1,0,1.0,1
1,0,1.2,2
1,0,1.471698113207547,3
1,0,1.6056338028169015,4
1,0,1.7865168539325842,5
1,0,1.9811320754716981,6
1,0,2.129032258064516,7
1,0,2.3661971830985915,8
1,0,2.60625,9
1,0,3.0,10
6,0,1.0,0
6,0,3.3333333333333335,1
6,0,5.054054054054054,2
6,0,6.428571428571429,3
6,0,inf,4
6,0,inf,5
6,0,inf,6
6,0,inf,7
6,0,inf,8
6,0,inf,9
6,0,inf,10
2,1,1.0,0
2,1,1.0,1
2,1,1.4166666666666667,2
2,1,1.6181818181818182,3
2,1,1.917808219178082,4
2,1,2.3043478260869565,5
2,1,2.7545454545454544,6
2,1,3.25,7
2,1,3.870748299319728,8
2,1,inf,9
2,1,inf,10
8,0,1.0,0
8,0,1.736842105263158,1
8,0,2.8947368421052633,2
8,0,4.368421052631579,3
8,0,inf,4
8,0,inf,5
8,0,inf,6
8,0,inf,7
8,0,inf,8
8,0,inf,9
8,0,inf,10
8,1,1.0,0
8,1,3.1052631578947367,1
8,1,4.842105263157895,2
8,1,6.43859649122807,3
8,1,inf,4
8,1,inf,5
8,1,inf,6
8,1,inf,7
8,1,inf,8
8,1,inf,9
8,1,inf,10
1,2,1.0,0
1,2,1.0,1
1,2,1.2285714285714286,2
1,2,1.490566037735849,3
1,2,1.6142857142857143,4
1,2,1.8522727272727273,5
1,2,2.047169811320755,6
1,2,2.2195121951219514,7
1,2,2.4468085106382977,8
1,2,2.729559748427673,9
1,2,inf,10
5,1,1.0,0
5,1,1.7222222222222223,1
5,1,2.810810810810811,2
5,1,3.732142857142857,3
5,1,4.533333333333333,4
5,1,5.361702127659575,5
5,1,inf,6
5,1,inf,7
5,1,inf,8
5,1,inf,9
5,1,inf,10
2,2,1.0,0
2,2,1.0,1
2,2,1.4444444444444444,2
2,2,1.7407407407407407,3
2,2,2.0555555555555554,4
2,2,2.433333333333333,5
2,2,2.8518518518518516,6
2,2,3.3015873015873014,7
2,2,3.8194444444444446,8
2,2,inf,9
2,2,inf,10
3,1,1.0,0
3,1,1.6666666666666667,1
3,1,2.25,2
3,1,2.963636363636364,3
3,1,3.5753424657534247,4
3,1,4.315217391304348,5
3,1,5.036363636363636,6
3,1,inf,7
3,1,inf,8
3,1,inf,9
3,1,inf,10
4,1,1.0,0
4,1,1.7777777777777777,1
4,1,3.0,2
4,1,3.8214285714285716,3
4,1,4.648648648648648,4
4,1,5.537634408602151,5
4,1,inf,6
4,1,inf,7
4,1,inf,8
4,1,inf,9
4,1,inf,10
9,0,1.0,0
9,0,inf,1
9,0,inf,2
9,0,inf,3
9,0,inf,4
9,0,inf,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
5,0,1.0,0
5,0,2.1578947368421053,1
5,0,3.263157894736842,2
5,0,4.12280701754386,3
5,0,5.026315789473684,4
5,0,inf,5
5,0,inf,6
5,0,inf,7
5,0,inf,8
5,0,inf,9
5,0,inf,10
3,2,1.0,0
3,2,1.9444444444444444,1
3,2,2.972972972972973,2
3,2,3.8392857142857144,3
3,2,4.84,4
3,2,inf,5
3,2,inf,6
3,2,inf,7
3,2,inf,8
3,2,inf,9
3,2,inf,10
4,2,1.0,0
4,2,1.894736842105263,1
4,2,2.9473684210526314,2
4,2,3.789473684210526,3
4,2,4.644736842105263,4
4,2,5.421052631578948,5
4,2,inf,6
4,2,inf,7
