model_idx,seed_idx,aib,decile
7,1,6.0,0
7,1,7.15,1
7,1,inf,2
7,1,inf,3
7,1,inf,4
7,1,inf,5
7,1,inf,6
7,1,inf,7
7,1,inf,8
7,1,inf,9
7,1,inf,10
8,0,2.0,0
8,0,2.8,1
8,0,3.3,2
8,0,3.8,3
8,0,4.2625,4
8,0,4.86,5
8,0,inf,6
8,0,inf,7
8,0,inf,8
8,0,inf,9
8,0,inf,10
5,0,8.0,0
5,0,inf,1
5,0,inf,2
5,0,inf,3
5,0,inf,4
5,0,inf,5
5,0,inf,6
5,0,inf,7
5,0,inf,8
5,0,inf,9
5,0,inf,10
1,0,1.0,0
1,0,1.25,1
1,0,1.625,2
1,0,1.9,3
1,0,2.2,4
1,0,inf,5
1,0,inf,6
1,0,inf,7
1,0,inf,8
1,0,inf,9
1,0,inf,10
0,1,1.0,0
0,1,1.0,1
0,1,1.0,2
0,1,1.0,3
0,1,1.0,4
0,1,inf,5
0,1,inf,6
0,1,inf,7
0,1,inf,8
0,1,inf,9
0,1,inf,10
1,1,3.0,0
1,1,4.9,1
1,1,5.9,2
1,1,6.7,3
1,1,7.4125,4
1,1,inf,5
1,1,inf,6
1,1,inf,7
1,1,inf,8
1,1,inf,9
1,1,inf,10
2,0,2.0,0
2,0,2.0,1
2,0,2.0,2
2,0,2.0833333333333335,3
2,0,2.3125,4
2,0,2.45,5
2,0,2.6416666666666666,6
2,0,2.835714285714286,7
2,0,3.1,8
2,0,3.45,9
2,0,inf,10
2,1,1.0,0
2,1,1.95,1
2,1,2.1,2
2,1,2.4,3
2,1,2.55,4
2,1,2.72,5
2,1,2.975,6
2,1,3.4,7
2,1,4.00625,8
2,1,inf,9
2,1,inf,10
4,1,3.0,0
4,1,5.15,1
4,1,6.175,2
4,1,inf,3
4,1,inf,4
4,1,inf,5
4,1,inf,6
4,1,inf,7
4,1,inf,8
4,1,inf,9
4,1,inf,10
3,0,1.0,0
3,0,1.95,1
3,0,2.025,2
3,0,2.3833333333333333,3
3,0,2.7875,4
3,0,3.29,5
3,0,inf,6
3,0,inf,7
3,0,inf,8
3,0,inf,9
3,0,inf,10
6,0,6.0,0
6,0,inf,1
6,0,inf,2
6,0,inf,3
6,0,inf,4
6,0,inf,5
6,0,inf,6
6,0,inf,7
6,0,inf,8
6,0,inf,9
6,0,inf,10
9,1,5.0,0
9,1,7.6,1
9,1,inf,2
9,1,inf,3
9,1,inf,4
9,1,inf,5
9,1,inf,6
9,1,inf,7
9,1,inf,8
9,1,inf,9
9,1,inf,10
5,1,3.0,0
5,1,6.2,1
5,1,7.05,2
5,1,7.75,3
5,1,inf,4
5,1,inf,5
5,1,inf,6
5,1,inf,7
5,1,inf,8
5,1,inf,9
5,1,inf,10
9,0,inf,0
9,0,inf,1
9,0,inf,2
9,0,inf,3
9,0,inf,4
9,0,inf,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
7,0,7.0,0
7,0,inf,1
7,0,inf,2
7,0,inf,3
7,0,inf,4
7,0,inf,5
7,0,inf,6
7,0,inf,7
7,0,inf,8
7,0,inf,9
7,0,inf,10
6,1,2.0,0
6,1,4.1,1
6,1,5.05,2
6,1,5.883333333333334,3
6,1,inf,4
6,1,inf,5
6,1,inf,6
6,1,inf,7
6,1,inf,8
6,1,inf,9
6,1,inf,10
4,0,9.0,0
4,0,inf,1
4,0,inf,2
4,0,inf,3
4,0,inf,4
4,0,inf,5
4,0,inf,6
4,0,inf,7
4,0,inf,8
4,0,inf,9
4,0,inf,10
8,1,2.0,0
8,1,2.7,1
8,1,2.95,2
8,1,3.3,3
8,1,3.7,4
8,1,4.23,5
8,1,inf,6
8,1,inf,7
8,1,inf,8
8,1,inf,9
8,1,inf,10
0,0,1.0,0
0,0,1.0,1
0,0,1.0,2
0,0,1.0,3
0,0,1.1375,4
0,0,1.31,5
0,0,1.425,6
0,0,1.5285714285714285,7
0,0,1.7125,8
0,0,1.9166666666666667,9
0,0,inf,10
3,1,6.0,0
3,1,inf,1
3,1,inf,2
3,1,inf,3
3,1,inf,4
3,1,inf,5
3,1,inf,6
3,1,inf,7
3,1,inf,8
3,1,inf,9
3,1,inf,10
1,2,1.0,0
1,2,1.0,1
1,2,1.0,2
1,2,1.0,3
1,2,1.0,4
1,2,inf,5
1,2,inf,6
1,2,inf,7
1,2,inf,8
1,2,inf,9
1,2,inf,10
0,2,1.0,0
0,2,1.0,1
0,2,1.25,2
0,2,1.5,3
0,2,1.7625,4
0,2,2.07,5
0,2,2.3916666666666666,6
0,2,2.7285714285714286,7
0,2,3.125,8
0,2,3.6055555555555556,9
0,2,inf,10
2,2,1.0,0
2,2,1.65,1
2,2,1.95,2
