model_idx,seed_idx,aib,decile
3,0,1.0,0
3,0,1.0,1
3,0,1.0,2
3,0,1.0,3
3,0,1.0,4
3,0,1.0,5
3,0,1.0940170940170941,6
3,0,1.510948905109489,7
3,0,2.2756410256410255,8
3,0,inf,9
3,0,inf,10
2,0,1.0,0
2,0,1.0,1
2,0,1.1891891891891893,2
2,0,1.4545454545454546,3
2,0,1.5945945945945945,4
2,0,1.8369565217391304,5
2,0,2.036036036036036,6
2,0,2.302325581395349,7
2,0,2.722972972972973,8
2,0,3.2771084337349397,9
2,0,inf,10
0,0,1.0,0
0,0,1.2941176470588236,1
0,0,1.8571428571428572,2
0,0,2.2830188679245285,3
0,0,2.7183098591549295,4
0,0,3.146067415730337,5
0,0,3.514018691588785,6
0,0,3.928,7
0,0,4.4475524475524475,8
0,0,inf,9
0,0,inf,10
1,0,1.0,0
1,0,1.0,1
1,0,1.0,2
1,0,1.0,3
1,0,1.0,4
1,0,1.0,5
1,0,1.0,6
1,0,1.0,7
1,0,1.0,8
1,0,1.0598802395209581,9
1,0,1.2956989247311828,10
4,0,1.0,0
4,0,1.0,1
4,0,1.4473684210526316,2
4,0,1.631578947368421,3
4,0,1.7236842105263157,4
4,0,1.8210526315789475,5
4,0,2.017543859649123,6
4,0,2.1578947368421053,7
4,0,2.263157894736842,8
4,0,2.426900584795322,9
4,0,2.6387434554973823,10
5,0,1.0,0
5,0,1.0,1
5,0,1.0,2
5,0,1.0,3
5,0,1.0,4
5,0,1.0,5
5,0,1.0,6
5,0,1.037037037037037,7
5,0,1.155844155844156,8
5,0,1.30635838150289,9
5,0,1.5751295336787565,10
6,0,1.0,0
6,0,1.0,1
6,0,1.0,2
6,0,1.0,3
6,0,1.0,4
6,0,1.0,5
6,0,1.0,6
6,0,1.0,7
6,0,1.0,8
6,0,1.0,9
6,0,1.1128205128205129,10
7,0,1.0,0
7,0,1.0,1
7,0,1.0,2
7,0,1.0,3
7,0,1.0,4
7,0,1.0,5
7,0,1.1282051282051282,6
7,0,1.3941605839416058,7
7,0,1.7692307692307692,8
7,0,inf,9
7,0,inf,10
9,0,1.0,0
9,0,1.263157894736842,1
9,0,1.631578947368421,2
9,0,2.017543859649123,3
9,0,2.3506493506493507,4
9,0,2.875,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
8,0,1.0,0
8,0,1.0,1
8,0,1.0,2
8,0,1.0,3
8,0,1.0,4
8,0,1.0,5
8,0,1.0854700854700854,6
8,0,1.3211678832116789,7
8,0,1.6282051282051282,8
8,0,2.0454545454545454,9
8,0,2.673469387755102,10
0,1,1.0,0
0,1,1.0,1
0,1,1.0,2
0,1,1.3396226415094339,3
0,1,1.5070422535211268,4
0,1,1.651685393258427,5
0,1,1.8773584905660377,6
0,1,2.3548387096774195,7
0,1,3.056338028169014,8
0,1,inf,9
0,1,inf,10
1,1,1.0,0
1,1,1.0,1
1,1,1.0,2
1,1,1.0,3
1,1,1.0,4
1,1,1.0,5
1,1,1.0810810810810811,6
1,1,1.2153846153846153,7
1,1,1.4324324324324325,8
1,1,1.688622754491018,9
1,1,inf,10
2,1,1.0,0
2,1,1.0,1
2,1,1.0,2
2,1,1.0,3
2,1,1.0,4
2,1,1.0,5
2,1,1.0,6
2,1,1.0,7
2,1,1.0,8
2,1,1.0,9
2,1,1.0698924731182795,10
5,1,1.0,0
5,1,1.0,1
5,1,1.0,2
5,1,1.0,3
5,1,1.0,4
5,1,1.0,5
5,1,1.0,6
5,1,1.0,7
5,1,1.0,8
5,1,1.0,9
5,1,1.0670103092783505,10
4,1,1.0,0
4,1,1.0,1
4,1,1.0,2
4,1,1.0,3
4,1,1.0,4
4,1,1.0,5
4,1,inf,6
4,1,inf,7
4,1,inf,8
4,1,inf,9
4,1,inf,10
3,1,1.0,0
3,1,1.0,1
3,1,1.0,2
3,1,1.0,3
3,1,1.0,4
3,1,1.0,5
3,1,1.1282051282051282,6
3,1,1.2554744525547445,7
3,1,1.3461538461538463,8
3,1,1.5340909090909092,9
3,1,inf,10
6,1,1.0,0
6,1,1.0,1
6,1,1.0,2
6,1,1.0,3
6,1,1.0,4
6,1,1.0,5
6,1,1.0,6
6,1,1.0,7
6,1,1.0,8
6,1,1.0,9
6,1,1.0104166666666667,10
8,1,1.0,0
8,1,1.4736842105263157,1
8,1,1.736842105263158,2
8,1,1.8245614035087718,3
8,1,1.868421052631579,4
8,1,2.0520833333333335,5
8,1,2.208695652173913,6
8,1,2.3208955223880596,7
8,1,2.4052287581699345,8
8,1,2.5290697674418605,9
8,1,2.7135416666666665,10
7,1,1.0,0
7,1,1.0,1
7,1,1.0,2
7,1,1.0,3
7,1,1.0,4
7,1,1.0206185567010309,5
7,1,1.188034188034188,6
7,1,1.3455882352941178,7
7,1,1.6025641025641026,8
7,1,1.9257142857142857,9
7,1,inf,10
9,1,1.0,0
9,1,1.0,1
9,1,1.0,2
9,1,1.0,3
9,1,1.0,4
9,1,1.0,5
9,1,1.0,6
9,1,1.0,7
9,1,1.0,8
9,1,1.0,9
9,1,1.0,10
3,2,1.0,0
3,2,1.0,1
3,2,1.0,2
3,2,1.0,3
3,2,1.0,4
3,2,1.0,5
3,2,1.3652173913043477,6
3,2,inf,7
3,2,inf,8
3,2,inf,9
3,2,inf,10
0,2,1.0,0
0,2,1.0,1
0,2,1.0,2
0,2,1.0,3
0,2,1.0140845070422535,4
0,2,1.2134831460674158,5
0,2,1.3396226415094339,6
0,2,1.435483870967742,7
0,2,1.5140845070422535,8
0,2,1.68125,9
0,2,1.9269662921348314,10
1,2,1.0,0
1,2,1.0,1
1,2,1.0,2
1,2,1.0,3
1,2,1.0,4
1,2,1.0,5
1,2,1.0,6
1,2,1.0384615384615385,7
1,2,1.195945945945946,8
1,2,1.4910179640718564,9
1,2,inf,10
2,2,1.0,0
2,2,1.0,1
2,2,1.0,2
2,2,1.0,3
2,2,1.0,4
2,2,1.0,5
2,2,1.0,6
2,2,1.0,7
2,2,1.0,8
2,2,1.0,9
2,2,1.0159574468085106,10
4,2,1.0,0
4,2,1.0,1
4,2,1.0,2
4,2,1.0,3
4,2,1.0,4
4,2,1.1443298969072164,5
4,2,1.2844827586206897,6
4,2,1.4370370370370371,7
4,2,1.6387096774193548,8
4,2,1.8793103448275863,9
4,2,inf,10
5,2,1.0,0
5,2,1.0,1
5,2,1.0,2
5,2,1.0,3
5,2,1.0,4
5,2,1.0,5
5,2,1.170940170940171,6
5,2,1.3970588235294117,7
5,2,1.641025641025641,8
5,2,1.9085714285714286,9
5,2,inf,10
7,2,1.0,0
7,2,1.0,1
7,2,1.0,2
7,2,1.0,3
7,2,1.0,4
7,2,1.0,5
7,2,1.2260869565217392,6
7,2,1.537313432835821,7
7,2,1.9215686274509804,8
7,2,2.441860465116279,9
7,2,inf,10
6,2,1.0,0
6,2,1.0,1
6,2,1.0,2
6,2,1.0,3
6,2,1.0,4
6,2,1.0,5
6,2,1.0,6
6,2,1.0,7
6,2,1.0,8
6,2,1.0,9
6,2,1.1398963730569949,10
8,2,1.0,0
8,2,1.0,1
8,2,1.0,2
8,2,1.0,3
8,2,1.0,4
8,2,1.0,5
8,2,1.0,6
8,2,1.0,7
8,2,1.0,8
8,2,1.0,9
8,2,1.0103626943005182,10
9,2,1.0,0
9,2,1.0,1
9,2,1.0,2
9,2,1.0,3
9,2,1.0,4
9,2,1.0,5
9,2,1.0,6
9,2,1.0,7
9,2,1.0,8
9,2,1.0,9
