model_idx,seed_idx,aib,decile
0,0,1.0,0
0,0,2.2941176470588234,1
0,0,7.942857142857143,2
0,0,28.830188679245282,3
0,0,83.42857142857143,4
0,0,inf,5
0,0,inf,6
0,0,inf,7
0,0,inf,8
0,0,inf,9
0,0,inf,10
1,0,1.0,0
1,0,1.9411764705882353,1
1,0,7.371428571428571,2
1,0,21.471698113207548,3
1,0,48.63380281690141,4
1,0,120.50561797752809,5
1,0,inf,6
1,0,inf,7
1,0,inf,8
1,0,inf,9
1,0,inf,10
2,0,1.0,0
2,0,2.2777777777777777,1
2,0,13.722222222222221,2
2,0,66.05454545454545,3
2,0,207.7123287671233,4
2,0,inf,5
2,0,inf,6
2,0,inf,7
2,0,inf,8
2,0,inf,9
2,0,inf,10
3,0,1.0,0
3,0,80.5,1
3,0,inf,2
3,0,inf,3
3,0,inf,4
3,0,inf,5
3,0,inf,6
3,0,inf,7
3,0,inf,8
3,0,inf,9
3,0,inf,10
4,0,2.0,0
4,0,inf,1
4,0,inf,2
4,0,inf,3
4,0,inf,4
4,0,inf,5
4,0,inf,6
4,0,inf,7
4,0,inf,8
4,0,inf,9
4,0,inf,10
5,0,2.0,0
5,0,281.63157894736844,1
5,0,inf,2
5,0,inf,3
5,0,inf,4
5,0,inf,5
5,0,inf,6
5,0,inf,7
5,0,inf,8
5,0,inf,9
5,0,inf,10
6,0,1.0,0
6,0,inf,1
6,0,inf,2
6,0,inf,3
6,0,inf,4
6,0,inf,5
6,0,inf,6
6,0,inf,7
6,0,inf,8
6,0,inf,9
6,0,inf,10
7,0,4.0,0
7,0,inf,1
7,0,inf,2
7,0,inf,3
7,0,inf,4
7,0,inf,5
7,0,inf,6
7,0,inf,7
7,0,inf,8
7,0,inf,9
7,0,inf,10
8,0,1.0,0
8,0,inf,1
8,0,inf,2
8,0,inf,3
8,0,inf,4
8,0,inf,5
8,0,inf,6
8,0,inf,7
8,0,inf,8
8,0,inf,9
8,0,inf,10
1,1,1.0,0
1,1,2.588235294117647,1
1,1,7.6571428571428575,2
1,1,21.452830188679247,3
1,1,58.056338028169016,4
1,1,154.69662921348313,5
1,1,inf,6
1,1,inf,7
1,1,inf,8
1,1,inf,9
1,1,inf,10
0,1,1.0,0
0,1,3.6470588235294117,1
0,1,26.4,2
0,1,89.18867924528301,3
0,1,inf,4
0,1,inf,5
0,1,inf,6
0,1,inf,7
0,1,inf,8
0,1,inf,9
0,1,inf,10
9,0,5.0,0
9,0,inf,1
9,0,inf,2
9,0,inf,3
9,0,inf,4
9,0,inf,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
2,1,1.0,0
2,1,3.7777777777777777,1
2,1,18.666666666666668,2
2,1,67.38181818181818,3
2,1,158.02739726027397,4
2,1,inf,5
2,1,inf,6
2,1,inf,7
2,1,inf,8
2,1,inf,9
2,1,inf,10
5,1,1.0,0
5,1,inf,1
5,1,inf,2
5,1,inf,3
5,1,inf,4
5,1,inf,5
5,1,inf,6
5,1,inf,7
5,1,inf,8
5,1,inf,9
5,1,inf,10
4,1,1.0,0
4,1,inf,1
4,1,inf,2
4,1,inf,3
4,1,inf,4
4,1,inf,5
4,1,inf,6
4,1,inf,7
4,1,inf,8
4,1,inf,9
4,1,inf,10
3,1,1.0,0
3,1,36.888888888888886,1
3,1,230.61111111111111,2
3,1,inf,3
3,1,inf,4
3,1,inf,5
3,1,inf,6
3,1,inf,7
3,1,inf,8
3,1,inf,9
3,1,inf,10
6,1,1.0,0
6,1,149.78947368421052,1
6,1,inf,2
6,1,inf,3
6,1,inf,4
6,1,inf,5
6,1,inf,6
6,1,inf,7
6,1,inf,8
6,1,inf,9
6,1,inf,10
7,1,6.0,0
7,1,inf,1
7,1,inf,2
7,1,inf,3
7,1,inf,4
7,1,inf,5
7,1,inf,6
7,1,inf,7
7,1,inf,8
7,1,inf,9
7,1,inf,10
8,1,1.0,0
8,1,inf,1
8,1,inf,2
8,1,inf,3
8,1,inf,4
8,1,inf,5
8,1,inf,6
8,1,inf,7
8,1,inf,8
8,1,inf,9
8,1,inf,10
9,1,3.0,0
9,1,inf,1
9,1,inf,2
9,1,inf,3
9,1,inf,4
9,1,inf,5
9,1,inf,6
9,1,inf,7
9,1,inf,8
9,1,inf,9
9,1,inf,10
0,2,1.0,0
0,2,1.2941176470588236,1
0,2,4.742857142857143,2
0,2,21.39622641509434,3
0,2,60.55714285714286,4
0,2,192.54545454545453,5
