model_idx,seed_idx,aib,decile
1,0,1.0,0
1,0,1.0,1
1,0,1.0,2
1,0,1.0,3
1,0,1.0,4
1,0,1.0,5
1,0,inf,6
1,0,inf,7
1,0,inf,8
1,0,inf,9
1,0,inf,10
0,0,1.0,0
0,0,11.941176470588236,1
0,0,inf,2
0,0,inf,3
0,0,inf,4
0,0,inf,5
0,0,inf,6
0,0,inf,7
0,0,inf,8
0,0,inf,9
0,0,inf,10
3,0,1.0,0
3,0,1.0,1
3,0,1.0,2
3,0,1.603448275862069,3
3,0,3.217948717948718,4
3,0,15.775510204081632,5
3,0,inf,6
3,0,inf,7
3,0,inf,8
3,0,inf,9
3,0,inf,10
4,0,1.0,0
4,0,43.73684210526316,1
4,0,265.07894736842104,2
4,0,inf,3
4,0,inf,4
4,0,inf,5
4,0,inf,6
4,0,inf,7
4,0,inf,8
4,0,inf,9
4,0,inf,10
5,0,1.0,0
5,0,1.7894736842105263,1
5,0,5.0,2
5,0,9.228070175438596,3
5,0,14.935064935064934,4
5,0,22.822916666666668,5
5,0,40.208695652173915,6
5,0,72.2074074074074,7
5,0,146.87012987012986,8
5,0,inf,9
5,0,inf,10
6,0,1.0,0
6,0,1.4736842105263157,1
6,0,2.8461538461538463,2
6,0,4.689655172413793,3
6,0,8.756410256410257,4
6,0,13.484536082474227,5
6,0,19.264957264957264,6
6,0,25.691176470588236,7
6,0,33.37820512820513,8
6,0,45.48571428571429,9
6,0,77.93846153846154,10
7,0,1.0,0
7,0,1.0,1
7,0,1.0,2
7,0,1.206896551724138,3
7,0,1.7435897435897436,4
7,0,2.63265306122449,5
7,0,inf,6
7,0,inf,7
7,0,inf,8
7,0,inf,9
7,0,inf,10
8,0,1.0,0
8,0,1.736842105263158,1
8,0,2.923076923076923,2
8,0,4.637931034482759,3
8,0,7.910256410256411,4
8,0,12.83673469387755,5
8,0,19.623931623931625,6
8,0,34.21897810218978,7
8,0,67.1923076923077,8
8,0,128.57954545454547,9
8,0,inf,10
9,0,1.0,0
9,0,1.0,1
9,0,1.0,2
9,0,1.0,3
9,0,1.0,4
9,0,1.28125,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
2,0,1.0,0
2,0,1.0,1
2,0,1.0,2
2,0,1.0727272727272728,3
2,0,1.4189189189189189,4
2,0,2.6956521739130435,5
2,0,34.83783783783784,6
2,0,inf,7
2,0,inf,8
2,0,inf,9
2,0,inf,10
0,1,1.0,0
0,1,1.0,1
0,1,1.1428571428571428,2
0,1,1.7169811320754718,3
0,1,2.915492957746479,4
0,1,8.202247191011235,5
0,1,inf,6
0,1,inf,7
0,1,inf,8
0,1,inf,9
0,1,inf,10
1,1,1.0,0
1,1,1.0,1
1,1,1.0,2
1,1,1.0,3
1,1,1.0,4
1,1,1.3010752688172043,5
1,1,inf,6
1,1,inf,7
1,1,inf,8
1,1,inf,9
1,1,inf,10
2,1,1.0,0
2,1,1.0,1
2,1,1.0,2
2,1,1.0,3
2,1,1.0,4
2,1,1.0,5
2,1,2.369369369369369,6
2,1,inf,7
2,1,inf,8
2,1,inf,9
2,1,inf,10
4,1,1.0,0
4,1,1.0,1
4,1,1.0,2
4,1,1.0,3
4,1,1.0,4
4,1,1.0,5
4,1,inf,6
4,1,inf,7
4,1,inf,8
4,1,inf,9
4,1,inf,10
5,1,1.0,0
5,1,1.0,1
5,1,1.0,2
5,1,1.0,3
5,1,1.0,4
5,1,1.1237113402061856,5
5,1,7.396551724137931,6
5,1,105.8,7
5,1,inf,8
5,1,inf,9
5,1,inf,10
6,1,1.0,0
6,1,1.0,1
6,1,1.0526315789473684,2
6,1,1.4210526315789473,3
6,1,1.9210526315789473,4
6,1,2.8229166666666665,5
6,1,5.565217391304348,6
6,1,11.417910447761194,7
6,1,24.176470588235293,8
6,1,49.69186046511628,9
6,1,inf,10
9,1,1.0,0
9,1,1.0,1
9,1,1.0,2
9,1,1.0,3
9,1,1.0,4
9,1,1.0,5
9,1,1.017094017094017,6
9,1,1.2279411764705883,7
9,1,2.0,8
9,1,5.085714285714285,9
9,1,inf,10
7,1,1.0,0
7,1,2.263157894736842,1
7,1,6.923076923076923,2
7,1,15.741379310344827,3
7,1,28.243589743589745,4
7,1,50.422680412371136,5
7,1,84.97435897435898,6
7,1,133.86764705882354,7
7,1,219.37179487179486,8
7,1,inf,9
7,1,inf,10
8,1,1.0,0
8,1,2.210526315789474,1
8,1,5.473684210526316,2
8,1,9.929824561403509,3
8,1,16.355263157894736,4
8,1,28.708333333333332,5
8,1,48.7304347826087,6
8,1,90.88059701492537,7
8,1,159.58169934640523,8
8,1,inf,9
8,1,inf,10
3,1,1.0,0
3,1,1.0,1
3,1,1.0,2
3,1,1.0,3
3,1,1.1794871794871795,4
3,1,1.5408163265306123,5
3,1,inf,6
3,1,inf,7
3,1,inf,8
3,1,inf,9
3,1,inf,10
0,2,1.0,0
0,2,1.0,1
0,2,1.1142857142857143,2
0,2,1.8679245283018868,3
0,2,3.3380281690140845,4
0,2,5.887640449438202,5
0,2,15.018867924528301,6
0,2,61.475806451612904,7
0,2,inf,8
0,2,inf,9
0,2,inf,10
1,2,1.0,0
1,2,1.0,1
1,2,1.0,2
1,2,1.0,3
1,2,1.0,4
1,2,1.0,5
1,2,inf,6
1,2,inf,7
1,2,inf,8
1,2,inf,9
1,2,inf,10
2,2,1.0,0
2,2,1.0,1
2,2,1.0,2
2,2,1.0,3
2,2,1.0,4
2,2,1.0,5
2,2,2.7232142857142856,6
2,2,inf,7
2,2,inf,8
2,2,inf,9
2,2,inf,10
3,2,1.0,0
3,2,1.0,1
3,2,1.0,2
3,2,1.0,3
3,2,1.0129870129870129,4
3,2,1.2604166666666667,5
3,2,inf,6
3,2,inf,7
3,2,inf,8
3,2,inf,9
3,2,inf,10
4,2,1.0,0
4,2,6.7368421052631575,1
4,2,14.736842105263158,2
4,2,25.879310344827587,3
4,2,48.33766233766234,4
4,2,89.02061855670104,5
4,2,164.51724137931035,6
4,2,inf,7
4,2,inf,8
4,2,inf,9
4,2,inf,10
5,2,1.0,0
5,2,1.0,1
5,2,1.0,2
5,2,2.0,3
5,2,12.153846153846153,4
5,2,46.824742268041234,5
5,2,inf,6
5,2,inf,7
5,2,inf,8
5,2,inf,9
5,2,inf,10
6,2,1.0,0
6,2,1.0,1
6,2,1.0,2
6,2,1.0,3
6,2,1.0,4
6,2,1.0,5
6,2,5.304347826086956,6
6,2,59.41481481481482,7
6,2,inf,8
6,2,inf,9
6,2,inf,10
7,2,1.0,0
7,2,1.0,1
7,2,1.0,2
7,2,1.0175438596491229,3
7,2,1.263157894736842,4
7,2,1.8541666666666667,5
7,2,inf,6
7,2,inf,7
7,2,inf,8
7,2,inf,9
7,2,inf,10
0,3,1.0,0
0,3,1.0,1
0,3,1.3142857142857143,2
0,3,2.188679245283019,3
0,3,4.126760563380282,4
0,3,8.348314606741573,5
0,3,inf,6
0,3,inf,7
0,3,inf,8
0,3,inf,9
0,3,inf,10
8,2,1.0,0
8,2,1.0,1
8,2,1.0,2
8,2,1.0,3
8,2,1.0,4
8,2,1.0,5
8,2,1.0,6
8,2,1.1555555555555554,7
8,2,1.5064935064935066,8
8,2,2.260115606936416,9
8,2,4.66321243523316,10
9,2,1.0,0
9,2,1.0,1
9,2,1.0,2
9,2,1.0,3
9,2,1.0,4
9,2,1.0,5
9,2,4.822033898305085,6
9,2,43.32116788321168,7
9,2,128.85987261146497,8
9,2,inf,9
9,2,inf,10
1,3,1.0,0
1,3,1.0,1
1,3,1.0,2
1,3,1.0,3
1,3,1.0,4
1,3,1.0,5
1,3,inf,6
1,3,inf,7
1,3,inf,8
1,3,inf,9
1,3,inf,10
2,3,1.0,0
2,3,1.0,1
2,3,1.0,2
2,3,1.2678571428571428,3
2,3,2.189189189189189,4
2,3,7.333333333333333,5
2,3,45.57142857142857,6
2,3,inf,7
2,3,inf,8
2,3,inf,9
2,3,inf,10
4,3,1.0,0
4,3,1.0,1
4,3,1.0,2
4,3,1.0,3
4,3,1.0,4
4,3,1.0,5
4,3,inf,6
4,3,inf,7
4,3,inf,8
4,3,inf,9
4,3,inf,10
3,3,1.0,0
3,3,1.0,1
3,3,1.0,2
3,3,1.0,3
3,3,1.0,4
3,3,1.0,5
3,3,29.189655172413794,6
3,3,inf,7
3,3,inf,8
3,3,inf,9
3,3,inf,10
5,3,1.0,0
5,3,1.0,1
5,3,1.0,2
5,3,1.0,3
5,3,1.0,4
5,3,1.1041666666666667,5
5,3,4.956521739130435,6
5,3,29.474074074074075,7
5,3,83.11688311688312,8
5,3,inf,9
5,3,inf,10
6,3,1.0,0
6,3,1.0,1
6,3,1.0,2
6,3,1.0,3
6,3,1.0,4
6,3,1.0,5
6,3,7.052173913043478,6
6,3,60.007462686567166,7
6,3,inf,8
6,3,inf,9
6,3,inf,10
7,3,1.0,0
7,3,8.789473684210526,1
7,3,58.76315789473684,2
7,3,138.1578947368421,3
7,3,268.1038961038961,4
7,3,inf,5
7,3,inf,6
7,3,inf,7
7,3,inf,8
7,3,inf,9
7,3,inf,10
8,3,1.0,0
8,3,3.263157894736842,1
8,3,5.538461538461538,2
8,3,9.440677966101696,3
8,3,15.936708860759493,4
8,3,27.151515151515152,5
8,3,47.554621848739494,6
8,3,77.56115107913669,7
8,3,118.11320754716981,8
8,3,189.43575418994413,9
8,3,inf,10
9,3,1.0,0
9,3,1.0,1
9,3,1.0,2
9,3,1.0,3
9,3,1.0,4
9,3,1.2061855670103092,5
9,3,3.0344827586206895,6
9,3,25.748148148148147,7
9,3,inf,8
9,3,inf,9
9,3,inf,10
0,4,1.0,0
0,4,137.94117647058823,1
0,4,inf,2
0,4,inf,3
0,4,inf,4
0,4,inf,5
0,4,inf,6
0,4,inf,7
0,4,inf,8
0,4,inf,9
0,4,inf,10
1,4,1.0,0
1,4,1.0555555555555556,1
1,4,2.3513513513513513,2
1,4,5.945454545454545,3
1,4,17.0,4
1,4,49.935483870967744,5
1,4,114.63063063063063,6
1,4,inf,7
1,4,inf,8
1,4,inf,9
1,4,inf,10
2,4,1.0,0
2,4,1.0,1
2,4,1.135135135135135,2
2,4,1.5892857142857142,3
2,4,2.364864864864865,4
2,4,3.7311827956989245,5
2,4,6.9375,6
2,4,12.861538461538462,7
2,4,30.02013422818792,8
2,4,68.94047619047619,9
2,4,inf,10
4,4,1.0,0
4,4,1.4210526315789473,1
4,4,2.1842105263157894,2
4,4,5.578947368421052,3
4,4,10.578947368421053,4
4,4,17.31578947368421,5
4,4,26.92105263157895,6
4,4,43.07518796992481,7
4,4,70.25657894736842,8
4,4,110.3391812865497,9
4,4,inf,10
5,4,1.0,0
5,4,1.0,1
5,4,1.0,2
5,4,1.0,3
5,4,1.0,4
5,4,1.0,5
5,4,9.129310344827585,6
5,4,60.82962962962963,7
5,4,inf,8
5,4,inf,9
5,4,inf,10
6,4,1.0,0
6,4,1.0,1
6,4,1.0,2
6,4,1.0,3
6,4,1.0,4
6,4,1.0,5
6,4,inf,6
6,4,inf,7
6,4,inf,8
6,4,inf,9
6,4,inf,10
3,4,1.0,0
3,4,1.0,1
3,4,1.0,2
3,4,1.0,3
3,4,1.0,4
3,4,1.0,5
3,4,9.21551724137931,6
3,4,inf,7
3,4,inf,8
3,4,inf,9
3,4,inf,10
7,4,1.0,0
7,4,4.315789473684211,1
7,4,7.871794871794871,2
7,4,12.741379310344827,3
7,4,18.91025641025641,4
7,4,26.6734693877551,5
7,4,36.88034188034188,6
7,4,58.306569343065696,7
7,4,102.77564102564102,8
7,4,inf,9
7,4,inf,10
9,4,1.0,0
9,4,1.0,1
9,4,1.0526315789473684,2
9,4,1.6140350877192982,3
9,4,2.831168831168831,4
9,4,9.895833333333334,5
9,4,66.87826086956522,6
9,4,inf,7
9,4,inf,8
9,4,inf,9
9,4,inf,10
8,4,1.0,0
8,4,10.473684210526315,1
8,4,35.53846153846154,2
8,4,68.67796610169492,3
8,4,99.91025641025641,4
8,4,143.3673469387755,5
8,4,193.27966101694915,6
8,4,258.88321167883214,7
8,4,346.43949044585986,8
8,4,inf,9
8,4,inf,10
