model_idx,seed_idx,aib,decile
0,0,1.0,0
0,0,2.9473684210526314,1
0,0,21.897435897435898,2
0,0,146.89830508474577,3
0,0,inf,4
0,0,inf,5
0,0,inf,6
0,0,inf,7
0,0,inf,8
0,0,inf,9
0,0,inf,10
2,0,1.0,0
2,0,21.789473684210527,1
2,0,inf,2
2,0,inf,3
2,0,inf,4
2,0,inf,5
2,0,inf,6
2,0,inf,7
2,0,inf,8
2,0,inf,9
2,0,inf,10
3,0,1.0,0
3,0,20.789473684210527,1
3,0,inf,2
3,0,inf,3
3,0,inf,4
3,0,inf,5
3,0,inf,6
3,0,inf,7
3,0,inf,8
3,0,inf,9
3,0,inf,10
1,0,1.0,0
1,0,8.368421052631579,1
1,0,48.82051282051282,2
1,0,108.59322033898304,3
1,0,inf,4
1,0,inf,5
1,0,inf,6
1,0,inf,7
1,0,inf,8
1,0,inf,9
1,0,inf,10
6,0,1.0,0
6,0,4.35,1
6,0,inf,2
6,0,inf,3
6,0,inf,4
6,0,inf,5
6,0,inf,6
6,0,inf,7
6,0,inf,8
6,0,inf,9
6,0,inf,10
5,0,1.0,0
5,0,1.263157894736842,1
5,0,5.128205128205129,2
5,0,30.271186440677965,3
5,0,inf,4
5,0,inf,5
5,0,inf,6
5,0,inf,7
5,0,inf,8
5,0,inf,9
5,0,inf,10
7,0,1.0,0
7,0,5.3,1
7,0,62.375,2
7,0,inf,3
7,0,inf,4
7,0,inf,5
7,0,inf,6
7,0,inf,7
7,0,inf,8
7,0,inf,9
7,0,inf,10
4,0,1.0,0
4,0,3.45,1
4,0,47.375,2
4,0,inf,3
4,0,inf,4
4,0,inf,5
4,0,inf,6
4,0,inf,7
4,0,inf,8
4,0,inf,9
4,0,inf,10
8,0,1.0,0
8,0,3.15,1
8,0,inf,2
8,0,inf,3
8,0,inf,4
8,0,inf,5
8,0,inf,6
8,0,inf,7
8,0,inf,8
8,0,inf,9
8,0,inf,10
0,1,1.0,0
0,1,1.2105263157894737,1
0,1,17.641025641025642,2
0,1,77.79661016949153,3
0,1,inf,4
0,1,inf,5
0,1,inf,6
0,1,inf,7
0,1,inf,8
0,1,inf,9
0,1,inf,10
9,0,1.0,0
9,0,8.95,1
9,0,inf,2
9,0,inf,3
9,0,inf,4
9,0,inf,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
1,1,1.0,0
1,1,20.68421052631579,1
1,1,inf,2
1,1,inf,3
1,1,inf,4
1,1,inf,5
1,1,inf,6
1,1,inf,7
1,1,inf,8
1,1,inf,9
1,1,inf,10
3,1,1.0,0
3,1,8.947368421052632,1
3,1,inf,2
3,1,inf,3
3,1,inf,4
3,1,inf,5
3,1,inf,6
3,1,inf,7
3,1,inf,8
3,1,inf,9
3,1,inf,10
2,1,1.0,0
2,1,inf,1
2,1,inf,2
2,1,inf,3
2,1,inf,4
2,1,inf,5
2,1,inf,6
2,1,inf,7
2,1,inf,8
2,1,inf,9
2,1,inf,10
4,1,1.0,0
4,1,5.0,1
4,1,187.10256410256412,2
4,1,inf,3
4,1,inf,4
4,1,inf,5
4,1,inf,6
4,1,inf,7
4,1,inf,8
4,1,inf,9
4,1,inf,10
5,1,1.0,0
5,1,1.05,1
5,1,3.175,2
5,1,12.05,3
5,1,65.9625,4
5,1,inf,5
5,1,inf,6
5,1,inf,7
5,1,inf,8
5,1,inf,9
