Unnamed: 0,asr,iteration,model_size,seed_idx,adv_training_round,model_idx
0.0,0.0,0,7629056,0,0,0
1.0,0.345,1,7629056,0,0,0
2.0,0.685,2,7629056,0,0,0
3.0,0.845,3,7629056,0,0,0
4.0,0.95,4,7629056,0,0,0
5.0,0.975,5,7629056,0,0,0
6.0,0.98,6,7629056,0,0,0
7.0,0.99,7,7629056,0,0,0
8.0,0.995,8,7629056,0,0,0
9.0,0.995,9,7629056,0,0,0
10.0,0.995,10,7629056,0,0,0
0.0,0.0,0,17617408,0,0,1
1.0,0.0749999999999999,1,17617408,0,0,1
2.0,0.255,2,17617408,0,0,1
3.0,0.39,3,17617408,0,0,1
4.0,0.4449999999999999,4,17617408,0,0,1
5.0,0.4599999999999999,5,17617408,0,0,1
6.0,0.4599999999999999,6,17617408,0,0,1
7.0,0.4599999999999999,7,17617408,0,0,1
8.0,0.4599999999999999,8,17617408,0,0,1
9.0,0.4599999999999999,9,17617408,0,0,1
10.0,0.4599999999999999,10,17617408,0,0,1
0.0,0.0,0,44672000,0,0,2
1.0,0.0,1,44672000,0,0,2
2.0,0.275,2,44672000,0,0,2
3.0,0.54,3,44672000,0,0,2
4.0,0.7050000000000001,4,44672000,0,0,2
5.0,0.8,5,44672000,0,0,2
6.0,0.875,6,44672000,0,0,2
7.0,0.915,7,44672000,0,0,2
8.0,0.92,8,44672000,0,0,2
9.0,0.935,9,44672000,0,0,2
10.0,0.96,10,44672000,0,0,2
0.0,0.0,0,123691008,0,0,3
1.0,0.005,1,123691008,0,0,3
2.0,0.1899999999999999,2,123691008,0,0,3
3.0,0.29,3,123691008,0,0,3
4.0,0.41,4,123691008,0,0,3
5.0,0.4599999999999999,5,123691008,0,0,3
6.0,0.5,6,123691008,0,0,3
7.0,0.52,7,123691008,0,0,3
8.0,0.54,8,123691008,0,0,3
9.0,0.55,9,123691008,0,0,3
10.0,0.56,10,123691008,0,0,3
0.0,0.0,0,353824768,0,0,4
1.0,0.0,1,353824768,0,0,4
2.0,0.0,2,353824768,0,0,4
3.0,0.0,3,353824768,0,0,4
4.0,0.0,4,353824768,0,0,4
5.0,0.0,5,353824768,0,0,4
6.0,0.0,6,353824768,0,0,4
7.0,0.0,7,353824768,0,0,4
8.0,0.0,8,353824768,0,0,4
9.0,0.005,9,353824768,0,0,4
10.0,0.01,10,353824768,0,0,4
0.0,0.0,0,908763136,0,0,5
1.0,0.0,1,908763136,0,0,5
2.0,0.0,2,908763136,0,0,5
3.0,0.0,3,908763136,0,0,5
4.0,0.0,4,908763136,0,0,5
5.0,0.0,5,908763136,0,0,5
6.0,0.0,6,908763136,0,0,5
7.0,0.0,7,908763136,0,0,5
8.0,0.005,8,908763136,0,0,5
9.0,0.005,9,908763136,0,0,5
10.0,0.01,10,908763136,0,0,5
0.0,0.0,0,1311629312,0,0,6
1.0,0.0,1,1311629312,0,0,6
2.0,0.0,2,1311629312,0,0,6
3.0,0.0,3,1311629312,0,0,6
4.0,0.0,4,1311629312,0,0,6
5.0,0.0,5,1311629312,0,0,6
6.0,0.005,6,1311629312,0,0,6
7.0,0.005,7,1311629312,0,0,6
8.0,0.02,8,1311629312,0,0,6
9.0,0.04,9,1311629312,0,0,6
10.0,0.0749999999999999,10,1311629312,0,0,6
0.0,0.0,0,2646435840,0,0,7
1.0,0.0,1,2646435840,0,0,7
2.0,0.0,2,2646435840,0,0,7
3.0,0.0,3,2646435840,0,0,7
4.0,0.0,4,2646435840,0,0,7
5.0,0.0,5,2646435840,0,0,7
6.0,0.0,6,2646435840,0,0,7
7.0,0.005,7,2646435840,0,0,7
8.0,0.02,8,2646435840,0,0,7
9.0,0.055,9,2646435840,0,0,7
10.0,0.0799999999999999,10,2646435840,0,0,7
0.0,0.0,0,6650740736,0,0,8
1.0,0.0,1,6650740736,0,0,8
2.0,0.02,2,6650740736,0,0,8
3.0,0.12,3,6650740736,0,0,8
4.0,0.2199999999999999,4,6650740736,0,0,8
5.0,0.3299999999999999,5,6650740736,0,0,8
6.0,0.415,6,6650740736,0,0,8
7.0,0.4499999999999999,7,6650740736,0,0,8
8.0,0.49,8,6650740736,0,0,8
9.0,0.495,9,6650740736,0,0,8
10.0,0.525,10,6650740736,0,0,8
0.0,0.0,0,11586560000,0,0,9
1.0,0.0,1,11586560000,0,0,9
2.0,0.0,2,11586560000,0,0,9
3.0,0.0,3,11586560000,0,0,9
4.0,0.0,4,11586560000,0,0,9
5.0,0.0,5,11586560000,0,0,9
6.0,0.0,6,11586560000,0,0,9
7.0,0.0,7,11586560000,0,0,9
8.0,0.0,8,11586560000,0,0,9
9.0,0.0,9,11586560000,0,0,9
10.0,0.0,10,11586560000,0,0,9
0.0,0.0,0,7629056,1,0,0
1.0,0.4599999999999999,1,7629056,1,0,0
2.0,0.4599999999999999,2,7629056,1,0,0
3.0,0.4599999999999999,3,7629056,1,0,0
4.0,0.4599999999999999,4,7629056,1,0,0
5.0,0.4599999999999999,5,7629056,1,0,0
6.0,0.4599999999999999,6,7629056,1,0,0
7.0,0.4599999999999999,7,7629056,1,0,0
8.0,0.4599999999999999,8,7629056,1,0,0
9.0,0.4599999999999999,9,7629056,1,0,0
10.0,0.4599999999999999,10,7629056,1,0,0
0.0,0.0,0,17617408,1,0,1
1.0,0.0,1,17617408,1,0,1
2.0,0.0,2,17617408,1,0,1
3.0,0.01,3,17617408,1,0,1
4.0,0.03,4,17617408,1,0,1
5.0,0.0699999999999999,5,17617408,1,0,1
6.0,0.1099999999999999,6,17617408,1,0,1
7.0,0.1999999999999999,7,17617408,1,0,1
8.0,0.27,8,17617408,1,0,1
9.0,0.345,9,17617408,1,0,1
10.0,0.415,10,17617408,1,0,1
0.0,0.0,0,44672000,1,0,2
1.0,0.005,1,44672000,1,0,2
2.0,0.175,2,44672000,1,0,2
3.0,0.4599999999999999,3,44672000,1,0,2
4.0,0.575,4,44672000,1,0,2
5.0,0.635,5,44672000,1,0,2
6.0,0.6699999999999999,6,44672000,1,0,2
7.0,0.73,7,44672000,1,0,2
8.0,0.75,8,44672000,1,0,2
9.0,0.79,9,44672000,1,0,2
10.0,0.81,10,44672000,1,0,2
0.0,0.0,0,123691008,1,0,3
1.0,0.0,1,123691008,1,0,3
2.0,0.0,2,123691008,1,0,3
3.0,0.0,3,123691008,1,0,3
4.0,0.0,4,123691008,1,0,3
5.0,0.0,5,123691008,1,0,3
6.0,0.005,6,123691008,1,0,3
7.0,0.01,7,123691008,1,0,3
8.0,0.01,8,123691008,1,0,3
9.0,0.015,9,123691008,1,0,3
10.0,0.025,10,123691008,1,0,3
0.0,0.0,0,353824768,1,0,4
1.0,0.0,1,353824768,1,0,4
2.0,0.0,2,353824768,1,0,4
3.0,0.01,3,353824768,1,0,4
4.0,0.025,4,353824768,1,0,4
5.0,0.05,5,353824768,1,0,4
6.0,0.1099999999999999,6,353824768,1,0,4
7.0,0.17,7,353824768,1,0,4
8.0,0.2199999999999999,8,353824768,1,0,4
9.0,0.24,9,353824768,1,0,4
10.0,0.29,10,353824768,1,0,4
0.0,0.0,0,908763136,1,0,5
1.0,0.0,1,908763136,1,0,5
2.0,0.0,2,908763136,1,0,5
3.0,0.005,3,908763136,1,0,5
4.0,0.01,4,908763136,1,0,5
5.0,0.025,5,908763136,1,0,5
6.0,0.04,6,908763136,1,0,5
7.0,0.1099999999999999,7,908763136,1,0,5
8.0,0.2049999999999999,8,908763136,1,0,5
9.0,0.28,9,908763136,1,0,5
10.0,0.39,10,908763136,1,0,5
0.0,0.0,0,1311629312,1,0,6
1.0,0.0,1,1311629312,1,0,6
2.0,0.01,2,1311629312,1,0,6
3.0,0.02,3,1311629312,1,0,6
4.0,0.06,4,1311629312,1,0,6
5.0,0.12,5,1311629312,1,0,6
6.0,0.18,6,1311629312,1,0,6
7.0,0.245,7,1311629312,1,0,6
8.0,0.3,8,1311629312,1,0,6
9.0,0.35,9,1311629312,1,0,6
10.0,0.38,10,1311629312,1,0,6
0.0,0.0,0,2646435840,1,0,7
1.0,0.0,1,2646435840,1,0,7
2.0,0.0,2,2646435840,1,0,7
3.0,0.0,3,2646435840,1,0,7
4.0,0.0,4,2646435840,1,0,7
5.0,0.0,5,2646435840,1,0,7
6.0,0.02,6,2646435840,1,0,7
7.0,0.0649999999999999,7,2646435840,1,0,7
8.0,0.0999999999999999,8,2646435840,1,0,7
9.0,0.125,9,2646435840,1,0,7
10.0,0.145,10,2646435840,1,0,7
0.0,0.0,0,6650740736,1,0,8
