asr,iteration,model_size,seed_idx,adv_training_round,model_idx,log_mean_prob,mean_log_prob,_step,flops_per_iteration,adversarial_eval_pre_attack_accuracy,adversarial_eval_n_correct_pre_attack,adversarial_eval_n_incorrect_pre_attack,adversarial_eval_n_examples,adversarial_eval_n_correct_post_attack,adversarial_eval_n_incorrect_post_attack,dataset_n_val,model_family,model_name_or_path,model_revision,evaluation_evaluation_attack_seed,run_name,run_id,run_state,run_created_at,num_params,post_attack_accuracy
0.0,0,7629056,0,0,0,,,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.345,1,7629056,0,0,0,-0.4280801117420196,-2.030433893203736,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.685,2,7629056,0,0,0,-1.128122329711914,-6.982747077941895,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.845,3,7629056,0,0,0,-1.861964464187622,-10.25910758972168,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.95,4,7629056,0,0,0,-2.9082624912261963,-12.671586990356444,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.975,5,7629056,0,0,0,-3.644346475601196,-14.272037506103516,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.98,6,7629056,0,0,0,-4.111847877502441,-15.259902000427246,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.99,7,7629056,0,0,0,-4.737127304077148,-16.090322494506836,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.995,8,7629056,0,0,0,-5.231627464294434,-16.656341552734375,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
0.995,9,7629056,0,0,0,-5.474509716033936,-16.949922561645508,4,34912612472064.0,1.0,200.0,0.0,200.0,1.0,199.0,200,pythia,AlignmentResearch/robust_llm_pythia-14m_clf_pm_v-ian-080_s-0,main,0,ian-107-gcg-pythia-pm-0000,z8m5xjhk,finished,2024-08-28T05:30:08Z,7629056,0.005
