ifs,decile,model_size,seed_idx,adv_training_round,model_idx
0.0,0,17617408,1,0,1
1.0,1,17617408,1,0,1
1.0,2,17617408,1,0,1
1.0,3,17617408,1,0,1
1.0,4,17617408,1,0,1
2.0,5,17617408,1,0,1
19.0,6,17617408,1,0,1
69.0,7,17617408,1,0,1
244.0,8,17617408,1,0,1
,9,17617408,1,0,1
,10,17617408,1,0,1
0.0,0,17617408,0,0,1
1.0,1,17617408,0,0,1
1.0,2,17617408,0,0,1
1.0,3,17617408,0,0,1
1.0,4,17617408,0,0,1
3.0,5,17617408,0,0,1
11.0,6,17617408,0,0,1
50.0,7,17617408,0,0,1
399.0,8,17617408,0,0,1
1063.0,9,17617408,0,0,1
,10,17617408,0,0,1
0.0,0,7629056,1,0,0
1.0,1,7629056,1,0,0
3.0,2,7629056,1,0,0
6.0,3,7629056,1,0,0
31.0,4,7629056,1,0,0
65.0,5,7629056,1,0,0
205.0,6,7629056,1,0,0
573.0,7,7629056,1,0,0
,8,7629056,1,0,0
,9,7629056,1,0,0
,10,7629056,1,0,0
0.0,0,353824768,0,0,4
1.0,1,353824768,0,0,4
2.0,2,353824768,0,0,4
3.0,3,353824768,0,0,4
8.0,4,353824768,0,0,4
12.0,5,353824768,0,0,4
28.0,6,353824768,0,0,4
89.0,7,353824768,0,0,4
429.0,8,353824768,0,0,4
,9,353824768,0,0,4
,10,353824768,0,0,4
0.0,0,7629056,0,0,0
3.0,1,7629056,0,0,0
10.0,2,7629056,0,0,0
42.0,3,7629056,0,0,0
122.0,4,7629056,0,0,0
284.0,5,7629056,0,0,0
756.0,6,7629056,0,0,0
,7,7629056,0,0,0
,8,7629056,0,0,0
,9,7629056,0,0,0
,10,7629056,0,0,0
0.0,0,44672000,0,0,2
1.0,1,44672000,0,0,2
1.0,2,44672000,0,0,2
2.0,3,44672000,0,0,2
5.0,4,44672000,0,0,2
14.0,5,44672000,0,0,2
38.0,6,44672000,0,0,2
129.0,7,44672000,0,0,2
472.0,8,44672000,0,0,2
,9,44672000,0,0,2
,10,44672000,0,0,2
