ifs,decile,model_size,seed_idx,adv_training_round,model_idx
0.0,0,44672000,0,0,2
1.0,1,44672000,0,0,2
2.0,2,44672000,0,0,2
3.0,3,44672000,0,0,2
7.0,4,44672000,0,0,2
15.0,5,44672000,0,0,2
55.0,6,44672000,0,0,2
193.0,7,44672000,0,0,2
394.0,8,44672000,0,0,2
,9,44672000,0,0,2
,10,44672000,0,0,2
0.0,0,123691008,0,0,3
2.0,1,123691008,0,0,3
5.0,2,123691008,0,0,3
20.0,3,123691008,0,0,3
42.0,4,123691008,0,0,3
168.0,5,123691008,0,0,3
1096.0,6,123691008,0,0,3
,7,123691008,0,0,3
,8,123691008,0,0,3
,9,123691008,0,0,3
,10,123691008,0,0,3
0.0,0,11586560000,0,0,9
1.0,1,11586560000,0,0,9
1.0,2,11586560000,0,0,9
1.0,3,11586560000,0,0,9
2.0,4,11586560000,0,0,9
41.0,5,11586560000,0,0,9
,6,11586560000,0,0,9
,7,11586560000,0,0,9
,8,11586560000,0,0,9
,9,11586560000,0,0,9
,10,11586560000,0,0,9
0.0,0,7629056,1,0,0
1.0,1,7629056,1,0,0
3.0,2,7629056,1,0,0
6.0,3,7629056,1,0,0
11.0,4,7629056,1,0,0
29.0,5,7629056,1,0,0
225.0,6,7629056,1,0,0
629.0,7,7629056,1,0,0
,8,7629056,1,0,0
,9,7629056,1,0,0
,10,7629056,1,0,0
0.0,0,1311629312,0,0,6
1.0,1,1311629312,0,0,6
1.0,2,1311629312,0,0,6
1.0,3,1311629312,0,0,6
2.0,4,1311629312,0,0,6
10.0,5,1311629312,0,0,6
475.0,6,1311629312,0,0,6
,7,1311629312,0,0,6
,8,1311629312,0,0,6
,9,1311629312,0,0,6
,10,1311629312,0,0,6
0.0,0,17617408,0,0,1
1.0,1,17617408,0,0,1
1.0,2,17617408,0,0,1
2.0,3,17617408,0,0,1
4.0,4,17617408,0,0,1
13.0,5,17617408,0,0,1
75.0,6,17617408,0,0,1
1011.0,7,17617408,0,0,1
,8,17617408,0,0,1
,9,17617408,0,0,1
,10,17617408,0,0,1
0.0,0,2646435840,0,0,7
1.0,1,2646435840,0,0,7
1.0,2,2646435840,0,0,7
1.0,3,2646435840,0,0,7
2.0,4,2646435840,0,0,7
7.0,5,2646435840,0,0,7
,6,2646435840,0,0,7
,7,2646435840,0,0,7
,8,2646435840,0,0,7
,9,2646435840,0,0,7
,10,2646435840,0,0,7
0.0,0,7629056,0,0,0
1.0,1,7629056,0,0,0
1.0,2,7629056,0,0,0
2.0,3,7629056,0,0,0
3.0,4,7629056,0,0,0
4.0,5,7629056,0,0,0
7.0,6,7629056,0,0,0
12.0,7,7629056,0,0,0
35.0,8,7629056,0,0,0
188.0,9,7629056,0,0,0
,10,7629056,0,0,0
0.0,0,17617408,1,0,1
1.0,1,17617408,1,0,1
1.0,2,17617408,1,0,1
1.0,3,17617408,1,0,1
3.0,4,17617408,1,0,1
5.0,5,17617408,1,0,1
11.0,6,17617408,1,0,1
41.0,7,17617408,1,0,1
161.0,8,17617408,1,0,1
,9,17617408,1,0,1
,10,17617408,1,0,1
0.0,0,353824768,0,0,4
1.0,1,353824768,0,0,4
1.0,2,353824768,0,0,4
1.0,3,353824768,0,0,4
1.0,4,353824768,0,0,4
2.0,5,353824768,0,0,4
258.0,6,353824768,0,0,4
,7,353824768,0,0,4
,8,353824768,0,0,4
,9,353824768,0,0,4
,10,353824768,0,0,4
0.0,0,6650740736,0,0,8
1.0,1,6650740736,0,0,8
1.0,2,6650740736,0,0,8
6.0,3,6650740736,0,0,8
49.0,4,6650740736,0,0,8
936.0,5,6650740736,0,0,8
,6,6650740736,0,0,8
,7,6650740736,0,0,8
,8,6650740736,0,0,8
,9,6650740736,0,0,8
,10,6650740736,0,0,8
0.0,0,908763136,0,0,5
1.0,1,908763136,0,0,5
1.0,2,908763136,0,0,5
1.0,3,908763136,0,0,5
1.0,4,908763136,0,0,5
1.0,5,908763136,0,0,5
61.0,6,908763136,0,0,5
890.0,7,908763136,0,0,5
,8,908763136,0,0,5
,9,908763136,0,0,5
,10,908763136,0,0,5
0.0,0,44672000,1,0,2
1.0,1,44672000,1,0,2
4.0,2,44672000,1,0,2
10.0,3,44672000,1,0,2
47.0,4,44672000,1,0,2
125.0,5,44672000,1,0,2
395.0,6,44672000,1,0,2
1104.0,7,44672000,1,0,2
,8,44672000,1,0,2
,9,44672000,1,0,2
,10,44672000,1,0,2
0.0,0,123691008,1,0,3
1.0,1,123691008,1,0,3
1.0,2,123691008,1,0,3
3.0,3,123691008,1,0,3
4.0,4,123691008,1,0,3
11.0,5,123691008,1,0,3
31.0,6,123691008,1,0,3
160.0,7,123691008,1,0,3
,8,123691008,1,0,3
,9,123691008,1,0,3
,10,123691008,1,0,3
0.0,0,908763136,1,0,5
1.0,1,908763136,1,0,5
1.0,2,908763136,1,0,5
1.0,3,908763136,1,0,5
2.0,4,908763136,1,0,5
7.0,5,908763136,1,0,5
,6,908763136,1,0,5
,7,908763136,1,0,5
,8,908763136,1,0,5
,9,908763136,1,0,5
,10,908763136,1,0,5
0.0,0,1311629312,1,0,6
1.0,1,1311629312,1,0,6
1.0,2,1311629312,1,0,6
4.0,3,1311629312,1,0,6
31.0,4,1311629312,1,0,6
302.0,5,1311629312,1,0,6
,6,1311629312,1,0,6
,7,1311629312,1,0,6
,8,1311629312,1,0,6
,9,1311629312,1,0,6
,10,1311629312,1,0,6
0.0,0,6650740736,1,0,8
1.0,1,6650740736,1,0,8
1.0,2,6650740736,1,0,8
1.0,3,6650740736,1,0,8
1.0,4,6650740736,1,0,8
7.0,5,6650740736,1,0,8
,6,6650740736,1,0,8
,7,6650740736,1,0,8
,8,6650740736,1,0,8
,9,6650740736,1,0,8
,10,6650740736,1,0,8
0.0,0,2646435840,1,0,7
1.0,1,2646435840,1,0,7
1.0,2,2646435840,1,0,7
1.0,3,2646435840,1,0,7
1.0,4,2646435840,1,0,7
5.0,5,2646435840,1,0,7
,6,2646435840,1,0,7
,7,2646435840,1,0,7
,8,2646435840,1,0,7
,9,2646435840,1,0,7
,10,2646435840,1,0,7
0.0,0,353824768,1,0,4
1.0,1,353824768,1,0,4
1.0,2,353824768,1,0,4
1.0,3,353824768,1,0,4
2.0,4,353824768,1,0,4
10.0,5,353824768,1,0,4
663.0,6,353824768,1,0,4
,7,353824768,1,0,4
,8,353824768,1,0,4
,9,353824768,1,0,4
,10,353824768,1,0,4
0.0,0,11586560000,1,0,9
1.0,1,11586560000,1,0,9
1.0,2,11586560000,1,0,9
1.0,3,11586560000,1,0,9
2.0,4,11586560000,1,0,9
136.0,5,11586560000,1,0,9
,6,11586560000,1,0,9
,7,11586560000,1,0,9
,8,11586560000,1,0,9
,9,11586560000,1,0,9
,10,11586560000,1,0,9
0.0,0,7629056,2,0,0
1.0,1,7629056,2,0,0
2.0,2,7629056,2,0,0
3.0,3,7629056,2,0,0
5.0,4,7629056,2,0,0
12.0,5,7629056,2,0,0
26.0,6,7629056,2,0,0
63.0,7,7629056,2,0,0
232.0,8,7629056,2,0,0
834.0,9,7629056,2,0,0
,10,7629056,2,0,0
0.0,0,17617408,2,0,1
1.0,1,17617408,2,0,1
2.0,2,17617408,2,0,1
4.0,3,17617408,2,0,1
14.0,4,17617408,2,0,1
32.0,5,17617408,2,0,1
91.0,6,17617408,2,0,1
493.0,7,17617408,2,0,1
,8,17617408,2,0,1
,9,17617408,2,0,1
,10,17617408,2,0,1
0.0,0,44672000,2,0,2
1.0,1,44672000,2,0,2
2.0,2,44672000,2,0,2
8.0,3,44672000,2,0,2
34.0,4,44672000,2,0,2
110.0,5,44672000,2,0,2
287.0,6,44672000,2,0,2
932.0,7,44672000,2,0,2
,8,44672000,2,0,2
,9,44672000,2,0,2
,10,44672000,2,0,2
0.0,0,123691008,2,0,3
1.0,1,123691008,2,0,3
2.0,2,123691008,2,0,3
6.0,3,123691008,2,0,3
12.0,4,123691008,2,0,3
27.0,5,123691008,2,0,3
84.0,6,123691008,2,0,3
281.0,7,123691008,2,0,3
706.0,8,123691008,2,0,3
,9,123691008,2,0,3
,10,123691008,2,0,3
0.0,0,353824768,2,0,4
1.0,1,353824768,2,0,4
1.0,2,353824768,2,0,4
1.0,3,353824768,2,0,4
2.0,4,353824768,2,0,4
5.0,5,353824768,2,0,4
582.0,6,353824768,2,0,4
,7,353824768,2,0,4
,8,353824768,2,0,4
,9,353824768,2,0,4
,10,353824768,2,0,4
0.0,0,908763136,2,0,5
1.0,1,908763136,2,0,5
1.0,2,908763136,2,0,5
1.0,3,908763136,2,0,5
1.0,4,908763136,2,0,5
3.0,5,908763136,2,0,5
191.0,6,908763136,2,0,5
,7,908763136,2,0,5
,8,908763136,2,0,5
,9,908763136,2,0,5
,10,908763136,2,0,5
0.0,0,1311629312,2,0,6
1.0,1,1311629312,2,0,6
1.0,2,1311629312,2,0,6
1.0,3,1311629312,2,0,6
1.0,4,1311629312,2,0,6
2.0,5,1311629312,2,0,6
1094.0,6,1311629312,2,0,6
,7,1311629312,2,0,6
,8,1311629312,2,0,6
,9,1311629312,2,0,6
,10,1311629312,2,0,6
0.0,0,6650740736,2,0,8
1.0,1,6650740736,2,0,8
1.0,2,6650740736,2,0,8
13.0,3,6650740736,2,0,8
80.0,4,6650740736,2,0,8
1135.0,5,6650740736,2,0,8
,6,6650740736,2,0,8
,7,6650740736,2,0,8
,8,6650740736,2,0,8
,9,6650740736,2,0,8
,10,6650740736,2,0,8
0.0,0,7629056,3,0,0
1.0,1,7629056,3,0,0
1.0,2,7629056,3,0,0
1.0,3,7629056,3,0,0
2.0,4,7629056,3,0,0
8.0,5,7629056,3,0,0
77.0,6,7629056,3,0,0
672.0,7,7629056,3,0,0
