log_mean_prob,mean_log_prob,iteration,model_size,seed_idx,adv_training_round,model_idx
-0.7520962357521057,-1.1487592458724976,0,17617408,0,0,1
-0.9666949510574341,-1.6868624687194824,1,17617408,0,0,1
-1.1699087619781494,-3.216350793838501,2,17617408,0,0,1
-1.334343433380127,-4.894845485687256,3,17617408,0,0,1
-1.4807288646697998,-6.102560520172119,4,17617408,0,0,1
-1.6216132640838623,-7.013593673706055,5,17617408,0,0,1
-1.747917890548706,-7.899473667144775,6,17617408,0,0,1
-1.8693921566009521,-8.580496788024902,7,17617408,0,0,1
-1.9681833982467651,-8.831354141235352,8,17617408,0,0,1
-2.062269449234009,-8.948797225952148,9,17617408,0,0,1
-0.5970730185508728,-0.7082679867744446,0,123691008,0,0,3
-0.8176063299179077,-0.9542388319969177,1,123691008,0,0,3
-0.9776362180709839,-1.125023365020752,2,123691008,0,0,3
-1.1155349016189575,-1.2733699083328247,3,123691008,0,0,3
-1.232143759727478,-1.3973748683929443,4,123691008,0,0,3
-1.3279424905776978,-1.499614953994751,5,123691008,0,0,3
-1.4255505800247192,-1.6017032861709595,6,123691008,0,0,3
-1.5171728134155273,-1.6951841115951538,7,123691008,0,0,3
-1.597720742225647,-1.7787688970565796,8,123691008,0,0,3
-1.675053358078003,-1.8577344417572021,9,123691008,0,0,3
-0.5506045818328857,-1.6720696687698364,0,353824768,0,0,4
-0.9341158270835876,-2.9834702014923096,1,353824768,0,0,4
-1.1217447519302368,-3.9511313438415527,2,353824768,0,0,4
-1.2865554094314575,-4.655941486358643,3,353824768,0,0,4
-1.503838062286377,-5.276874542236328,4,353824768,0,0,4
-1.6667757034301758,-5.754901885986328,5,353824768,0,0,4
-1.8793460130691528,-6.23300838470459,6,353824768,0,0,4
-2.0820865631103516,-6.66092586517334,7,353824768,0,0,4
-2.2904725074768066,-6.976269245147705,8,353824768,0,0,4
-2.4471585750579834,-7.292002201080322,9,353824768,0,0,4
-0.9453563094139099,-1.0612543821334839,0,7629056,0,0,0
-1.4729626178741455,-1.657575249671936,1,7629056,0,0,0
-1.8000413179397583,-2.025068998336792,2,7629056,0,0,0
-2.0827698707580566,-2.3618247509002686,3,7629056,0,0,0
-2.2800402641296387,-2.594764471054077,4,7629056,0,0,0
-2.459047794342041,-2.8291807174682617,5,7629056,0,0,0
-2.6323506832122803,-3.018385171890259,6,7629056,0,0,0
-2.792038679122925,-3.236778736114502,7,7629056,0,0,0
-2.9283154010772705,-3.4675302505493164,8,7629056,0,0,0
-3.063509702682495,-3.675865411758423,9,7629056,0,0,0
-0.6720782518386841,-0.7441173791885376,0,44672000,0,0,2
-1.1243541240692139,-1.2759969234466553,1,44672000,0,0,2
-1.5067158937454224,-1.7396996021270752,2,44672000,0,0,2
-1.8855875730514526,-2.1746537685394287,3,44672000,0,0,2
-2.186264753341675,-2.518143892288208,4,44672000,0,0,2
-2.450092077255249,-2.801546573638916,5,44672000,0,0,2
-2.707336187362671,-3.058983087539673,6,44672000,0,0,2
-2.966740608215332,-3.3272714614868164,7,44672000,0,0,2
-3.1841208934783936,-3.5559935569763184,8,44672000,0,0,2
-3.379349708557129,-3.7531113624572754,9,44672000,0,0,2
-0.8985846042633057,-1.0265315771102905,0,17617408,1,0,1
-1.295091152191162,-1.4801076650619507,1,17617408,1,0,1
-1.6389409303665161,-1.8724205493927002,2,17617408,1,0,1
-1.9182053804397583,-2.1910674571990967,3,17617408,1,0,1
-2.1506099700927734,-2.44022536277771,4,17617408,1,0,1
-2.3518636226654053,-2.6563735008239746,5,17617408,1,0,1
-2.5313079357147217,-2.8495142459869385,6,17617408,1,0,1
-2.678490400314331,-3.0127856731414795,7,17617408,1,0,1
-2.8121888637542725,-3.1507809162139893,8,17617408,1,0,1
-2.929779529571533,-3.2773730754852295,9,17617408,1,0,1
-0.3941113352775574,-4.481886863708496,0,2646435840,0,0,7
-0.6406440734863281,-7.529753684997559,1,2646435840,0,0,7
-0.8426955938339233,-9.344265937805176,2,2646435840,0,0,7
-0.9918723702430725,-11.073644638061523,3,2646435840,0,0,7
-1.101847767829895,-11.989700317382812,4,2646435840,0,0,7
-1.1939382553100586,-12.70419979095459,5,2646435840,0,0,7
-1.2581193447113037,-13.150032043457031,6,2646435840,0,0,7
-1.307124376296997,-13.637810707092285,7,2646435840,0,0,7
-1.361830472946167,-14.046165466308594,8,2646435840,0,0,7
-1.4127047061920166,-14.541337013244629,9,2646435840,0,0,7
-0.7006919980049133,-0.8141815662384033,0,7629056,1,0,0
-0.974513590335846,-1.1487146615982056,1,7629056,1,0,0
-1.2055188417434692,-1.435176968574524,2,7629056,1,0,0
-1.421244740486145,-1.6893757581710815,3,7629056,1,0,0
-1.6263797283172607,-1.9281269311904907,4,7629056,1,0,0
-1.7950918674468994,-2.1286401748657227,5,7629056,1,0,0
-1.9538071155548096,-2.3135664463043213,6,7629056,1,0,0
