log_mean_prob,mean_log_prob,iteration,model_size,seed_idx,adv_training_round,model_idx
-0.1527197510004043,-0.3199720084667206,0,7629056,0,0,0
-0.4806787967681885,-1.188988208770752,1,7629056,0,0,0
-0.8896640539169312,-2.563711881637573,2,7629056,0,0,0
-1.2521491050720217,-3.982534885406494,3,7629056,0,0,0
-1.6952731609344482,-5.275882244110107,4,7629056,0,0,0
-2.2058217525482178,-6.351428031921387,5,7629056,0,0,0
-2.7520463466644287,-7.368352890014648,6,7629056,0,0,0
-3.2860918045043945,-8.312403678894043,7,7629056,0,0,0
-3.700327634811402,-9.106863021850586,8,7629056,0,0,0
-4.070650577545166,-9.681586265563965,9,7629056,0,0,0
-0.1602678894996643,-0.3546890616416931,0,17617408,0,0,1
-0.5971998572349548,-2.0112075805664062,1,17617408,0,0,1
-1.1679500341415403,-3.917905330657959,2,17617408,0,0,1
-1.8251628875732424,-5.876672744750977,3,17617408,0,0,1
-2.4461820125579834,-7.682572841644287,4,17617408,0,0,1
-3.135126829147339,-9.134516716003418,5,17617408,0,0,1
-3.483770608901977,-10.344621658325195,6,17617408,0,0,1
-4.384154319763184,-11.26400375366211,7,17617408,0,0,1
-5.430201053619385,-12.11640167236328,8,17617408,0,0,1
-6.0627522468566895,-12.82353687286377,9,17617408,0,0,1
-0.1287527233362198,-0.5540352463722229,0,44672000,0,0,2
-0.3275356590747833,-1.721056580543518,1,44672000,0,0,2
-0.616798460483551,-3.167755365371704,2,44672000,0,0,2
-0.9364786148071288,-4.820565700531006,3,44672000,0,0,2
-1.255526781082153,-6.375817775726318,4,44672000,0,0,2
-1.4585546255111694,-7.55597448348999,5,44672000,0,0,2
-1.727333426475525,-8.51743221282959,6,44672000,0,0,2
-1.9270663261413572,-9.431157112121582,7,44672000,0,0,2
-2.2446770668029785,-10.11822509765625,8,44672000,0,0,2
-2.6420669555664062,-10.922907829284668,9,44672000,0,0,2
-0.0277407262474298,-0.1332234144210815,0,123691008,0,0,3
-0.0719205662608146,-0.416998416185379,1,123691008,0,0,3
-0.1513969749212265,-0.8437128663063049,2,123691008,0,0,3
-0.241380363702774,-1.5735760927200315,3,123691008,0,0,3
-0.3221436142921448,-2.210296869277954,4,123691008,0,0,3
-0.3876839876174927,-2.70692777633667,5,123691008,0,0,3
-0.4728564023971557,-3.2593812942504883,6,123691008,0,0,3
-0.5246201157569885,-3.737306594848633,7,123691008,0,0,3
-0.575247049331665,-4.064855575561523,8,123691008,0,0,3
-0.6248950958251953,-4.412813663482666,9,123691008,0,0,3
-0.0351092405617237,-0.1418599486351013,0,353824768,0,0,4
-0.0552707500755786,-0.3476122617721557,1,353824768,0,0,4
-0.1005283668637275,-0.7060396671295166,2,353824768,0,0,4
-0.1474451869726181,-1.1630804538726809,3,353824768,0,0,4
-0.2119129449129104,-1.6067854166030884,4,353824768,0,0,4
-0.2696320414543152,-2.0195000171661377,5,353824768,0,0,4
-0.3259409964084625,-2.502032518386841,6,353824768,0,0,4
-0.3897687196731567,-2.958936929702759,7,353824768,0,0,4
-0.4530385732650757,-3.408153295516968,8,353824768,0,0,4
-0.5674422979354858,-4.022758483886719,9,353824768,0,0,4
-0.0224636495113372,-0.0992588251829147,0,908763136,0,0,5
-0.0675693750381469,-0.3697884380817413,1,908763136,0,0,5
-0.1015887260437011,-0.673604428768158,2,908763136,0,0,5
-0.1789600253105163,-1.2883388996124268,3,908763136,0,0,5
-0.2518449425697326,-1.8501981496810915,4,908763136,0,0,5
-0.3323528468608856,-2.48019814491272,5,908763136,0,0,5
-0.424395352602005,-3.119209289550781,6,908763136,0,0,5
-0.4720232486724853,-3.738860607147217,7,908763136,0,0,5
-0.5401039719581604,-4.230982780456543,8,908763136,0,0,5
-0.6394769549369812,-4.824854850769043,9,908763136,0,0,5
-0.0110855139791965,-0.0409365594387054,0,1311629312,0,0,6
-0.0260643735527992,-0.1407453566789627,1,1311629312,0,0,6
-0.0506457090377807,-0.313529759645462,2,1311629312,0,0,6
-0.0761883631348609,-0.5616966485977173,3,1311629312,0,0,6
-0.1043896526098251,-0.7916198372840881,4,1311629312,0,0,6
-0.1523351371288299,-1.0217667818069458,5,1311629312,0,0,6
-0.2004145979881286,-1.3188352584838867,6,1311629312,0,0,6
-0.2431173175573349,-1.7167829275131226,7,1311629312,0,0,6
-0.3051196038722992,-2.12065863609314,8,1311629312,0,0,6
-0.3699433207511902,-2.551185369491577,9,1311629312,0,0,6
-0.0402074716985225,-0.1825387328863144,0,2646435840,0,0,7
-0.0517381206154823,-0.3789310157299042,1,2646435840,0,0,7
-0.1025797501206398,-0.6107878088951111,2,2646435840,0,0,7
-0.1582104414701461,-0.992408573627472,3,2646435840,0,0,7
-0.2200223803520202,-1.4522335529327393,4,2646435840,0,0,7
-0.2545051276683807,-1.7680904865264893,5,2646435840,0,0,7
-0.31257164478302,-2.102910280227661,6,2646435840,0,0,7
-0.3686739802360534,-2.5002264976501465,7,2646435840,0,0,7
-0.4360012114048004,-2.848475933074951,8,2646435840,0,0,7
-0.5028261542320251,-3.251220703125,9,2646435840,0,0,7
-0.0283921733498573,-0.0955044478178024,0,6650740736,0,0,8
-0.106904499232769,-0.4599658846855163,1,6650740736,0,0,8
-0.1513948291540146,-0.8429372906684875,2,6650740736,0,0,8
-0.179995909333229,-1.0806466341018677,3,6650740736,0,0,8
-0.2061947137117386,-1.3057715892791748,4,6650740736,0,0,8
-0.2520738542079925,-1.5767189264297483,5,6650740736,0,0,8
-0.3098446428775787,-1.8698910474777224,6,6650740736,0,0,8
-0.3684439957141876,-2.137744665145874,7,6650740736,0,0,8
-0.4358982741832733,-2.444082736968994,8,6650740736,0,0,8
-0.4994518756866455,-2.8363935947418213,9,6650740736,0,0,8
-0.0079266233369708,-0.0170087162405252,0,11586560000,0,0,9
-0.0243346374481916,-0.0635614544153213,1,11586560000,0,0,9
-0.0392213612794876,-0.2182498574256897,2,11586560000,0,0,9
-0.0460280403494834,-0.2903180420398712,3,11586560000,0,0,9
-0.0596584156155586,-0.385689377784729,4,11586560000,0,0,9
-0.0649870410561561,-0.4760472774505615,5,11586560000,0,0,9
-0.0696069002151489,-0.5040357708930969,6,11586560000,0,0,9
-0.0827675238251686,-0.6260280609130859,7,11586560000,0,0,9
-0.0842092707753181,-0.6881174445152283,8,11586560000,0,0,9
-0.0860585719347,-0.7292399406433105,9,11586560000,0,0,9
-0.1499431878328323,-0.2938602268695831,0,7629056,1,0,0
-0.3718666732311249,-0.9260544776916504,1,7629056,1,0,0
-0.7341078519821167,-1.92267906665802,2,7629056,1,0,0
-1.221618890762329,-3.215085506439209,3,7629056,1,0,0
-1.7832553386688232,-4.726291656494141,4,7629056,1,0,0
-2.275503873825073,-6.073124885559082,5,7629056,1,0,0
-2.644191026687622,-7.335519313812256,6,7629056,1,0,0
-3.314702033996582,-8.483163833618164,7,7629056,1,0,0
-3.935425996780396,-9.503828048706056,8,7629056,1,0,0
-4.8004469871521,-10.475536346435549,9,7629056,1,0,0
-0.1348311454057693,-0.4479187726974487,0,17617408,1,0,1
-0.4609202742576599,-1.8753448724746704,1,17617408,1,0,1
-0.7844594120979309,-3.5811734199523926,2,17617408,1,0,1
-1.1777675151824951,-5.357565879821777,3,17617408,1,0,1
-1.6437984704971311,-7.104401588439941,4,17617408,1,0,1
-2.097298145294189,-8.608132362365723,5,17617408,1,0,1
-2.3905415534973145,-9.838944435119627,6,17617408,1,0,1
-2.828910112380981,-10.741083145141602,7,17617408,1,0,1
-2.9403092861175537,-11.518542289733888,8,17617408,1,0,1
-3.101152181625366,-12.049053192138672,9,17617408,1,0,1
-0.1295900791883468,-0.51634681224823,0,44672000,1,0,2
-0.3663730919361114,-1.8391695022583008,1,44672000,1,0,2
-0.5385184288024902,-3.0923426151275635,2,44672000,1,0,2
-0.7079211473464966,-4.2089667320251465,3,44672000,1,0,2
-0.8697677850723267,-5.399305820465088,4,44672000,1,0,2
-1.0889054536819458,-6.487367153167725,5,44672000,1,0,2
-1.2536187171936035,-7.359500885009766,6,44672000,1,0,2
-1.516859531402588,-8.315258979797363,7,44672000,1,0,2
-1.601176619529724,-9.130788803100586,8,44672000,1,0,2
-1.7923002243041992,-9.816975593566896,9,44672000,1,0,2
-0.0386148616671562,-0.1094935759902,0,123691008,1,0,3
-0.12448500841856,-0.6125436425209045,1,123691008,1,0,3
-0.2121342867612838,-1.2342846393585205,2,123691008,1,0,3
-0.3064991533756256,-1.9404510259628296,3,123691008,1,0,3
-0.42807736992836,-2.569432020187378,4,123691008,1,0,3
-0.531377911567688,-3.253079891204834,5,123691008,1,0,3
-0.6425175666809082,-3.915562868118286,6,123691008,1,0,3
-0.7833688259124756,-4.600008964538574,7,123691008,1,0,3
-0.8652189373970032,-5.214602470397949,8,123691008,1,0,3
-0.974452793598175,-5.748055458068848,9,123691008,1,0,3
-0.0447505302727222,-0.3041505217552185,0,353824768,1,0,4
-0.0782497972249984,-0.6209690570831299,1,353824768,1,0,4
-0.1105328053236007,-0.8760885000228882,2,353824768,1,0,4
-0.197186604142189,-1.3165760040283203,3,353824768,1,0,4
-0.2873387336730957,-1.8544435501098635,4,353824768,1,0,4
-0.3793571889400482,-2.422286033630371,5,353824768,1,0,4
-0.4584584236145019,-2.930201292037964,6,353824768,1,0,4
-0.5410757064819336,-3.432238340377808,7,353824768,1,0,4
-0.6312853693962097,-3.880156993865967,8,353824768,1,0,4
-0.7264748215675354,-4.423412799835205,9,353824768,1,0,4
-0.047407928854227,-0.2754114866256714,0,908763136,1,0,5
-0.0813517794013023,-0.6306897401809692,1,908763136,1,0,5
-0.1220678389072418,-0.8985719084739685,2,908763136,1,0,5
-0.2050681859254837,-1.372314453125,3,908763136,1,0,5
-0.285536527633667,-2.0337164402008057,4,908763136,1,0,5
-0.3800756335258484,-2.6657063961029053,5,908763136,1,0,5
-0.4801150858402252,-3.3075666427612305,6,908763136,1,0,5
-0.5790920257568359,-3.961661100387573,7,908763136,1,0,5
-0.6861128807067871,-4.629373073577881,8,908763136,1,0,5
-0.8256226181983948,-5.363025665283203,9,908763136,1,0,5
-0.0123545005917549,-0.0779146775603294,0,1311629312,1,0,6
-0.0618366003036499,-0.4044130444526672,1,1311629312,1,0,6
-0.1325331181287765,-1.028172254562378,2,1311629312,1,0,6
-0.1957544237375259,-1.6688871383666992,3,1311629312,1,0,6
-0.3061936497688293,-2.392817974090576,4,1311629312,1,0,6
-0.3936674296855926,-3.1254186630249023,5,1311629312,1,0,6
-0.4994144439697265,-3.910077333450317,6,1311629312,1,0,6
-0.6069082021713257,-4.756600379943848,7,1311629312,1,0,6
-0.7023423314094543,-5.635036945343018,8,1311629312,1,0,6
-0.7921371459960938,-6.380441665649414,9,1311629312,1,0,6
-0.0148190325126051,-0.0420639999210834,0,2646435840,1,0,7
-0.0302727613598108,-0.1634433418512344,1,2646435840,1,0,7
-0.0481750778853893,-0.2930035293102264,2,2646435840,1,0,7
-0.1023580655455589,-0.5570560097694397,3,2646435840,1,0,7
