log_mean_prob,mean_log_prob,iteration,model_size,seed_idx,adv_training_round,model_idx
-0.09009110927581787,-0.16927525401115417,0,7629056,0,0,0
-0.20353014767169952,-0.4126718044281006,1,7629056,0,0,0
-0.3663423955440521,-0.8054906725883484,2,7629056,0,0,0
-0.5457396507263184,-1.1819747686386108,3,7629056,0,0,0
-0.7499188184738159,-1.6078927516937256,4,7629056,0,0,0
-0.9640562534332275,-2.032163143157959,5,7629056,0,0,0
-1.1658443212509155,-2.4251058101654053,6,7629056,0,0,0
-1.3752599954605103,-2.798945665359497,7,7629056,0,0,0
-1.5991390943527222,-3.1674907207489014,8,7629056,0,0,0
-1.8155065774917603,-3.494797706604004,9,7629056,0,0,0
-0.18058958649635315,-0.4850146770477295,0,44672000,0,0,2
-0.5480382442474365,-1.9952881336212158,1,44672000,0,0,2
-0.9060243368148804,-3.691161870956421,2,44672000,0,0,2
-1.1624665260314941,-4.9584879875183105,3,44672000,0,0,2
-1.3932344913482666,-5.99104118347168,4,44672000,0,0,2
-1.640687346458435,-6.869489669799805,5,44672000,0,0,2
-1.8754584789276123,-7.610838413238525,6,44672000,0,0,2
-2.10467267036438,-8.391096115112305,7,44672000,0,0,2
-2.422445774078369,-8.92983627319336,8,44672000,0,0,2
-2.795872211456299,-9.538031578063965,9,44672000,0,0,2
-1.8136491775512695,-10.055755615234375,0,17617408,0,0,1
-2.5247786045074463,-12.60401439666748,1,17617408,0,0,1
-3.3933768272399902,-14.44245719909668,2,17617408,0,0,1
-4.446857929229736,-15.967202186584473,3,17617408,0,0,1
-5.160960674285889,-16.59609603881836,4,17617408,0,0,1
-6.3759565353393555,-17.102886199951172,5,17617408,0,0,1
-8.38685131072998,-17.36471939086914,6,17617408,0,0,1
-11.156583786010742,-17.86090660095215,7,17617408,0,0,1
-12.98405647277832,-17.8253231048584,8,17617408,0,0,1
-14.746986389160156,-18.262054443359375,9,17617408,0,0,1
-0.7812602519989014,-8.23356819152832,0,123691008,0,0,3
-0.9409609436988831,-9.728848457336426,1,123691008,0,0,3
-1.0120750665664673,-10.042764663696289,2,123691008,0,0,3
-1.0984487533569336,-10.16830825805664,3,123691008,0,0,3
-1.1770076751708984,-10.332540512084961,4,123691008,0,0,3
-1.2852795124053955,-10.524002075195312,5,123691008,0,0,3
-1.3465678691864014,-10.612309455871582,6,123691008,0,0,3
-1.4233251810073853,-10.805720329284668,7,123691008,0,0,3
-1.5412378311157227,-10.94383430480957,8,123691008,0,0,3
-1.6115965843200684,-11.013253211975098,9,123691008,0,0,3
-0.11316942423582077,-1.0409406423568726,0,353824768,0,0,4
-0.6544332504272461,-5.883698463439941,1,353824768,0,0,4
-1.7203679084777832,-11.704703330993652,2,353824768,0,0,4
-3.378498077392578,-15.040445327758789,3,353824768,0,0,4
-4.566298007965088,-16.29151725769043,4,353824768,0,0,4
-12.45291519165039,-16.81679916381836,5,353824768,0,0,4
-14.176675796508789,-17.160388946533203,6,353824768,0,0,4
-15.130430221557617,-17.281414031982422,7,353824768,0,0,4
-15.67352294921875,-17.27479362487793,8,353824768,0,0,4
-15.974421501159668,-17.33011817932129,9,353824768,0,0,4
-1.1117547750473022,-10.907533645629883,0,908763136,0,0,5
-1.8648531436920166,-14.256246566772461,1,908763136,0,0,5
-2.7772815227508545,-16.53038787841797,2,908763136,0,0,5
-3.9235990047454834,-17.718957901000977,3,908763136,0,0,5
-5.262059688568115,-18.194169998168945,4,908763136,0,0,5
-5.262694358825684,-18.336978912353516,5,908763136,0,0,5
-14.995287895202637,-18.276044845581055,6,908763136,0,0,5
-17.446008682250977,-18.532930374145508,7,908763136,0,0,5
-17.534324645996094,-18.415796279907227,8,908763136,0,0,5
-17.592557907104492,-18.50826072692871,9,908763136,0,0,5
-2.29347562789917,-13.184219360351562,0,1311629312,0,0,6
-4.535912036895752,-15.928793907165527,1,1311629312,0,0,6
-7.219669818878174,-17.0481014251709,2,1311629312,0,0,6
-14.542536735534668,-17.710840225219727,3,1311629312,0,0,6
-15.777957916259766,-17.883682250976562,4,1311629312,0,0,6
-16.413288116455078,-18.216331481933594,5,1311629312,0,0,6
-16.7839298248291,-18.20145606994629,6,1311629312,0,0,6
-16.879606246948242,-18.264755249023438,7,1311629312,0,0,6
-16.94513702392578,-18.295927047729492,8,1311629312,0,0,6
-17.06277084350586,-18.402910232543945,9,1311629312,0,0,6
-0.7409467101097107,-5.701657772064209,0,2646435840,0,0,7
-0.9348137974739075,-7.355678558349609,1,2646435840,0,0,7
-1.1783335208892822,-8.641362190246582,2,2646435840,0,0,7
-1.3928149938583374,-9.879334449768066,3,2646435840,0,0,7
-1.6463032960891724,-10.723453521728516,4,2646435840,0,0,7
-1.76834237575531,-11.517541885375977,5,2646435840,0,0,7
-1.8245738744735718,-11.932857513427734,6,2646435840,0,0,7
-1.916057825088501,-12.381437301635742,7,2646435840,0,0,7
-1.9811601638793945,-12.683128356933594,8,2646435840,0,0,7
-2.045555591583252,-12.93620491027832,9,2646435840,0,0,7
-0.2594064772129059,-0.36648786067962646,0,7629056,1,0,0
-0.5745398998260498,-0.9854302406311035,1,7629056,1,0,0
-0.7855640649795532,-1.5971463918685913,2,7629056,1,0,0
-0.9517168998718262,-2.278562307357788,3,7629056,1,0,0
-1.0969901084899902,-2.8977365493774414,4,7629056,1,0,0
-1.2284064292907715,-3.4250454902648926,5,7629056,1,0,0
-1.3703877925872803,-3.8733456134796143,6,7629056,1,0,0
-1.506689190864563,-4.278388977050781,7,7629056,1,0,0
-1.677194595336914,-4.674862861633301,8,7629056,1,0,0
-1.8172718286514282,-5.0926313400268555,9,7629056,1,0,0
-0.7929628491401672,-5.73288106918335,0,6650740736,0,0,8
-0.988188624382019,-7.61550235748291,1,6650740736,0,0,8
-1.2504125833511353,-8.901329040527344,2,6650740736,0,0,8
-1.61147141456604,-10.1378173828125,3,6650740736,0,0,8
-1.9781216382980347,-11.215808868408203,4,6650740736,0,0,8
-2.2985680103302,-11.9299898147583,5,6650740736,0,0,8
