log_mean_prob,mean_log_prob,iteration,model_size,seed_idx,adv_training_round,model_idx
-0.0478730238974094,-0.2765403687953949,0,7629056,0,0,0
-0.1365576833486557,-1.244018316268921,1,7629056,0,0,0
-0.2933825850486755,-2.8768465518951416,2,7629056,0,0,0
-0.5167664289474487,-4.989579200744629,3,7629056,0,0,0
-0.7867367267608643,-7.095359802246094,4,7629056,0,0,0
-0.9890013933181764,-9.126076698303224,5,7629056,0,0,0
-1.1916687488555908,-10.83376121520996,6,7629056,0,0,0
-1.4547191858291626,-12.20413875579834,7,7629056,0,0,0
-1.710239291191101,-13.363421440124512,8,7629056,0,0,0
-1.867969036102295,-14.39641284942627,9,7629056,0,0,0
-0.0378587208688259,-0.1810937523841858,0,17617408,0,0,1
-0.160353735089302,-1.014408826828003,1,17617408,0,0,1
-0.3665293455123901,-2.271684408187866,2,17617408,0,0,1
-0.6159643530845642,-3.660317659378052,3,17617408,0,0,1
-0.7879636287689209,-5.001482009887695,4,17617408,0,0,1
-0.9022251963615416,-5.91396951675415,5,17617408,0,0,1
-1.0052627325057983,-6.748270511627197,6,17617408,0,0,1
-1.0589022636413574,-7.656898498535156,7,17617408,0,0,1
-1.0803120136260986,-8.27121639251709,8,17617408,0,0,1
-1.1279003620147705,-8.886898040771484,9,17617408,0,0,1
-0.0260413698852062,-0.3086285293102264,0,44672000,0,0,2
-0.0991756618022918,-1.1571509838104248,1,44672000,0,0,2
-0.2333169430494308,-3.042356014251709,2,44672000,0,0,2
-0.3595555424690246,-4.601974010467529,3,44672000,0,0,2
-0.5684856176376343,-6.67277717590332,4,44672000,0,0,2
-0.7958897352218628,-8.765965461730957,5,44672000,0,0,2
-0.9894659519195556,-10.89836311340332,6,44672000,0,0,2
-1.166337251663208,-12.85630989074707,7,44672000,0,0,2
-1.322778820991516,-14.038338661193848,8,44672000,0,0,2
-1.518410325050354,-15.261652946472168,9,44672000,0,0,2
-0.0152333844453096,-0.1743310391902923,0,123691008,0,0,3
-0.0319845005869865,-0.3696146011352539,1,123691008,0,0,3
-0.0462201014161109,-0.5595069527626038,2,123691008,0,0,3
-0.0676764473319053,-0.9297704696655272,3,123691008,0,0,3
-0.0851821079850196,-1.2199718952178955,4,123691008,0,0,3
-0.1189828291535377,-1.6604299545288086,5,123691008,0,0,3
-0.1465596407651901,-1.9871784448623655,6,123691008,0,0,3
-0.1820092797279358,-2.4998891353607178,7,123691008,0,0,3
-0.2045688480138778,-3.0144970417022705,8,123691008,0,0,3
-0.2715316712856293,-3.5610105991363525,9,123691008,0,0,3
-0.0250812266021966,-0.3082061409950256,0,353824768,0,0,4
-0.0516946204006671,-0.5778985023498535,1,353824768,0,0,4
-0.0973921716213226,-0.9723513126373292,2,353824768,0,0,4
-0.1396895200014114,-1.5408695936203003,3,353824768,0,0,4
-0.2154460251331329,-2.246213436126709,4,353824768,0,0,4
-0.2814903259277344,-2.95358943939209,5,353824768,0,0,4
-0.371800810098648,-3.8606154918670654,6,353824768,0,0,4
-0.4596256017684936,-4.832662582397461,7,353824768,0,0,4
-0.5106627941131592,-5.733476638793945,8,353824768,0,0,4
-0.6024573445320129,-6.487762928009033,9,353824768,0,0,4
-0.0107129402458667,-0.1871784180402755,0,908763136,0,0,5
-0.0285941865295171,-0.3366665244102478,1,908763136,0,0,5
-0.0834342017769813,-0.9170696139335632,2,908763136,0,0,5
-0.1547314226627349,-1.6578502655029297,3,908763136,0,0,5
-0.2312665730714798,-2.553197145462036,4,908763136,0,0,5
-0.3261613249778747,-3.934904098510742,5,908763136,0,0,5
-0.3754242360591888,-4.934648990631104,6,908763136,0,0,5
-0.4148323535919189,-5.716027736663818,7,908763136,0,0,5
-0.476343035697937,-6.32963752746582,8,908763136,0,0,5
-0.5224469304084778,-6.834494590759277,9,908763136,0,0,5
-0.0179896708577871,-0.2359485626220703,0,1311629312,0,0,6
-0.0433661453425884,-0.5335326790809631,1,1311629312,0,0,6
-0.0683947205543518,-0.8042885065078735,2,1311629312,0,0,6
-0.1270127892494201,-1.3273299932479858,3,1311629312,0,0,6
-0.1756253689527511,-2.1113734245300293,4,1311629312,0,0,6
-0.2827270030975342,-3.011620283126831,5,1311629312,0,0,6
-0.3651106059551239,-3.825252294540405,6,1311629312,0,0,6
-0.5203127264976501,-4.911583423614502,7,1311629312,0,0,6
-0.6185445785522461,-5.901311874389648,8,1311629312,0,0,6
-0.6651365756988525,-6.606735229492188,9,1311629312,0,0,6
-0.0160732045769691,-0.1694074422121048,0,2646435840,0,0,7
-0.0392513647675514,-0.396788626909256,1,2646435840,0,0,7
-0.0652119144797325,-0.7262434959411621,2,2646435840,0,0,7
-0.0960314273834228,-1.128455638885498,3,2646435840,0,0,7
-0.1562291830778122,-1.7004703283309937,4,2646435840,0,0,7
-0.2541662156581878,-2.7612533569335938,5,2646435840,0,0,7
-0.3597967326641083,-3.796635627746582,6,2646435840,0,0,7
-0.4146093726158142,-4.72248125076294,7,2646435840,0,0,7
-0.5136353373527527,-5.689913272857666,8,2646435840,0,0,7
-0.5812171697616577,-6.558314800262451,9,2646435840,0,0,7
-0.0170019380748271,-0.112962394952774,0,6650740736,0,0,8
-0.0428938716650009,-0.487849086523056,1,6650740736,0,0,8
-0.0859250202775001,-0.9784287810325624,2,6650740736,0,0,8
-0.094389908015728,-1.3067195415496826,3,6650740736,0,0,8
-0.1239896342158317,-1.5559135675430298,4,6650740736,0,0,8
-0.1482386142015457,-1.8441004753112795,5,6650740736,0,0,8
-0.2105072140693664,-2.312398672103882,6,6650740736,0,0,8
-0.2451967298984527,-2.8613572120666504,7,6650740736,0,0,8
-0.3071874976158142,-3.3667097091674805,8,6650740736,0,0,8
-0.3650320470333099,-3.854568481445313,9,6650740736,0,0,8
-0.0050113988108932,-0.0413491204380989,0,11586560000,0,0,9
-0.0084563605487346,-0.0694425702095031,1,11586560000,0,0,9
-0.0100734457373619,-0.1495932042598724,2,11586560000,0,0,9
-0.010188509710133,-0.162989467382431,3,11586560000,0,0,9
-0.0136829856783151,-0.1755117923021316,4,11586560000,0,0,9
-0.0153458965942263,-0.2015586048364639,5,11586560000,0,0,9
