_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
101,5.209958108109056e+16,50,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,5.21023212091476e+16,13726930226380800000,0.00379562803553965
53,1.7108601493294592e+16,26,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.7112938843281408e+16,13726930226380800000,0.0012466690338669663
51,1.60615212169728e+16,25,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.6061692660712756e+16,13726930226380800000,0.0011700862753600179
49,1.5034885591803392e+16,24,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.5041080931369164e+16,13726930226380800000,0.0010957352214454178
47,1.404587263041536e+16,23,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.4054626846131098e+16,13726930226380800000,0.0010238725348163074
45,1.3091206158495744e+16,22,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.3101299409320038e+16,13726930226380800000,0.0009544231079532693
43,1.217203073180672e+16,21,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.2183505275587276e+16,13726930226380800000,0.0008875622644437045
41,1.1297374461594112e+16,20,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.130010841302702e+16,13726930226380800000,0.0008232072449315838
39,1.0416219498187264e+16,19,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,1.0418223602828084e+16,13726930226380800000,0.0007589623776775706
37,9568895088633856.0,18,niki-172-adv-tr-gcg-wl-small-0003,AlignmentResearch/robust_llm_pythia-14m_clf_wl_v-ian-081_s-3,,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,True,3,la8y03l6,finished,2024-09-13T03:10:53Z,7629056,0,3,clf_wl_pythia-14m_s-3_adv_tr_gcg_t-3,9569077563194164.0,13726930226380800000,0.0006971025134814222
