_step,train_total_flops,adv_training_round,run_name,model_name_or_path,training_force_name_to_save,training_save_name,training_adversarial_skip_first_training_round,training_seed,run_id,run_state,run_created_at,num_params,model_idx,seed_idx,model_key,mean_train_total_flops,pretrain_compute,defense_flops_fraction_pretrain
26,1.0283116872079053e+17,25,niki-182-adv-tr-no-ramp-small-0000,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-14m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,d3sdgvqq,crashed,2024-10-17T02:59:09Z,7629056,0,0,clf_imdb_pythia-14m_s-0_adv_tr_gcg_t-0_no_ramp,1.0283116872079053e+17,13726930226380800000,0.007491199199305807
3,8390696664794112.0,2,niki-182-adv-tr-no-ramp-small-0000,AlignmentResearch/robust_llm_pythia-14m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-14m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,d3sdgvqq,crashed,2024-10-17T02:59:09Z,7629056,0,0,clf_imdb_pythia-14m_s-0_adv_tr_gcg_t-0_no_ramp,8390696664794112.0,13726930226380800000,0.0006112580545261777
1,0.0,0,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,0.0,31699074847604736000,0.0
3,3.914133118822236e+17,2,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,3.914133118822236e+17,31699074847604736000,0.012347783453112349
4,5.846761154397389e+17,3,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,5.846761154397389e+17,31699074847604736000,0.01844457979453992
5,7.912144510793236e+17,4,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,7.912144510793236e+17,31699074847604736000,0.02496017485945997
6,9.663628548327996e+17,5,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,9.663628548327996e+17,31699074847604736000,0.030485522352896696
7,1.1595605739379098e+18,6,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,1.1595605739379098e+18,31699074847604736000,0.036580265497102644
8,1.3525745974736814e+18,7,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,1.3525745974736814e+18,31699074847604736000,0.042669213659271364
9,1.5506803564677857e+18,8,niki-182-adv-tr-no-ramp-small-0001,AlignmentResearch/robust_llm_pythia-410m_clf_imdb_v-ian-079_s-0,,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,True,0,8v551u1f,crashed,2024-10-17T02:59:09Z,353824768,1,0,clf_imdb_pythia-410m_s-0_adv_tr_gcg_t-0_no_ramp,1.5506803564677857e+18,31699074847604736000,0.048918789078948755
